Stand,climateScenario,none,first,second,both
0,NONE,,,,
0,Ensemble_rcp45,,,,
0,Ensemble_rcp85,,,,
1,NONE,,,,
1,Ensemble_rcp45,,,,
1,Ensemble_rcp85,,,,
2,NONE,,,,
2,Ensemble_rcp45,,,,
2,Ensemble_rcp85,,,,
3,NONE,,,,
3,Ensemble_rcp45,,,,
3,Ensemble_rcp85,,,,
4,NONE,,,,
4,Ensemble_rcp45,,,,
4,Ensemble_rcp85,,,,
5,NONE,,,,
5,Ensemble_rcp45,,,,
5,Ensemble_rcp85,,,,
6,NONE,,,,
6,Ensemble_rcp45,,,,
6,Ensemble_rcp85,,,,
7,NONE,,,,
7,Ensemble_rcp45,,,,
7,Ensemble_rcp85,,,,
8,NONE,,,,
8,Ensemble_rcp45,,,,
8,Ensemble_rcp85,,,,
9,NONE,,,,
9,Ensemble_rcp45,,,,
9,Ensemble_rcp85,,,,
10,NONE,,,,
10,Ensemble_rcp45,,,,
10,Ensemble_rcp85,,,,
11,NONE,,,,
11,Ensemble_rcp45,,,,
11,Ensemble_rcp85,,,,
12,NONE,,,,
12,Ensemble_rcp45,,,,
12,Ensemble_rcp85,,,,
13,NONE,,,,
13,Ensemble_rcp45,,,,
13,Ensemble_rcp85,,,,
14,NONE,,,,
14,Ensemble_rcp45,,,,
14,Ensemble_rcp85,,,,
15,NONE,,,,
15,Ensemble_rcp45,,,,
15,Ensemble_rcp85,,,,
16,NONE,,,,
16,Ensemble_rcp45,,,,
16,Ensemble_rcp85,,,,
17,NONE,,,,
17,Ensemble_rcp45,,,,
17,Ensemble_rcp85,,,,
18,NONE,,,,
18,Ensemble_rcp45,,,,
18,Ensemble_rcp85,,,,
19,NONE,,,,
19,Ensemble_rcp45,,,,
19,Ensemble_rcp85,,,,
20,NONE,,,,
20,Ensemble_rcp45,,,,
20,Ensemble_rcp85,,,,
21,NONE,,,,
21,Ensemble_rcp45,,,,
21,Ensemble_rcp85,,,,
22,NONE,,,,
22,Ensemble_rcp45,,,,
22,Ensemble_rcp85,,,,
