FID,Field1,Field2,Field3,Field4,Longitude,Latitude
0,Stand_291_GNN_137417,-2019492.000000000000000,2610888.000000000000000,1685.806445310000100,-121.588535116000000,44.027177422999998
1,Stand_251_GNN_13642,-2020800.000000000000000,2614170.000000000000000,1844.633056639999900,-121.615258155000010,44.052426696500000
2,Stand_116_GNN_78642,-2021400.000000000000000,2612070.000000000000000,1842.233093260000000,-121.615497660000000,44.032840988300002
3,Stand_207_GNN_150017,-2025660.000000000000000,2614110.000000000000000,2059.410888670000100,-121.673711318000000,44.040289016999999
4,Stand_119_GNN_24337,-2019716.896549999900000,2612671.034479999900000,1794.100560679999900,-121.597188489000000,44.042054522000001
5,Stand_2_GNN_146071,-2018544.000000000000000,2611350.000000000000000,1715.995361329999900,-121.578633014999990,44.033432436500000
6,Stand_9_GNN_29477,-2017530.000000000000000,2611630.000000000000000,1625.722045900000000,-121.567326773000000,44.038270663100000
7,Stand_50_GNN_130631,-2019702.000000000000000,2609142.000000000000000,1783.866479490000100,-121.585255685000010,44.011583124100000
8,Stand_96_GNN_81141,-2023365.000000000000000,2607855.000000000000000,1957.671997070000100,-121.625152126000000,43.991715090400000
9,Stand_97_GNN_84329,-2022450.000000000000000,2608920.000000000000000,1988.466430660000000,-121.617665952000000,44.003105621600000
10,Stand_87_GNN_82721,-2025690.000000000000000,2614815.000000000000000,2070.066406250000000,-121.676429325000000,44.046310333100003
11,Stand_277_GNN_25052,-2022525.000000000000000,2610645.000000000000000,2020.944213870000100,-121.624320739000000,44.017836583799998
12,Stand_24_GNN_94106,-2022360.000000000000000,2614710.000000000000000,2033.433105470000100,-121.635889487000000,44.053367587499999
13,Stand_196_GNN_83057,-2022991.875000000000000,2613969.375000000000000,2026.406715390000000,-121.641043986000000,44.045455488700000
14,Stand_92_GNN_78779,-2027490.000000000000000,2613270.000000000000000,1929.410888670000100,-121.692982853999990,44.028647980700001
15,Stand_50_GNN_93824,-2019960.000000000000000,2608650.000000000000000,1792.355346679999900,-121.586730415999990,44.006714686499997
16,Stand_2_GNN_137472,-2018130.000000000000000,2611080.000000000000000,1718.738708500000000,-121.572737859000000,44.032085429200002
17,Stand_198_GNN_14347,-2020470.000000000000000,2609820.000000000000000,1805.077514650000000,-121.596778904999990,44.015611739000001
18,Stand_288_GNN_9024,-2019540.000000000000000,2612255.000000000000000,1741.701639810000000,-121.593667418000000,44.038880158700003
19,Stand_101_GNN_13575,-2021130.000000000000000,2606970.000000000000000,1996.433105470000100,-121.595250234999990,43.989401405499997
20,Stand_101_GNN_13574,-2021120.000000000000000,2606863.333329999800000,1976.009643550000000,-121.594774539000000,43.988503257200001
21,Stand_78_GNN_14451,-2022927.631580000000000,2609218.421050000000000,2021.273174090000100,-121.624421746000000,44.004544213400003
22,Stand_53_GNN_8686,-2018310.000000000000000,2610450.000000000000000,1691.433146160000000,-121.572813374000010,44.026209895000001
