stand,climateScenario,none,first,second,both
0.0,NONE,-45.46541029950001,-28.318048981535224,-32.302498084464794,-30.59487704035212
0.0,Ensemble_rcp45,-22.981733218683097,-17.14736131796479,-12.593705200330989,-11.811045555112676
0.0,Ensemble_rcp85,-23.62209111022536,-18.143473593697188,-13.589817476063379,-12.949459584521124
1.0,NONE,-108.797406991751,-74.62669983242156,-59.577424658623606,-108.53183154750752
1.0,Ensemble_rcp45,-140.4894100048079,-135.177901119938,-140.57793515288904,-36.38383586135856
1.0,Ensemble_rcp85,-143.6763153357298,-143.05663929916165,-87.28579600802807,-107.11542917820891
2.0,NONE,-512.4638648484232,-236.22367037772045,-465.3272835406983,-190.52912597424688
2.0,Ensemble_rcp45,-493.086493947542,-219.4599913657952,-262.3605892672813,-71.74133598651866
2.0,Ensemble_rcp85,-447.9327133831629,-148.43967383140242,-243.97461873807305,-85.17030465736198
3.0,NONE,-341.0225908258506,-193.4439854605498,-196.9513380560689,-237.6905874347899
3.0,Ensemble_rcp45,-549.4852399646486,-541.4812814774383,-549.6651042003163,-128.87272485586607
3.0,Ensemble_rcp85,-467.73694485370487,-440.0378525608878,-270.0661498549656,-326.18379138327
4.0,NONE,-566.9537734434929,-339.03673433387706,-331.1060504898098,-338.3157630753255
4.0,Ensemble_rcp45,-720.34040870034,-692.8533794680613,-722.0527154393999,-233.5045663633906
4.0,Ensemble_rcp85,-68.85275519167519,-54.34320861332479,-32.353585227501824,-80.56853814313826
5.0,NONE,-319.48318085141864,-289.83671803621843,-260.9067860443461,-327.2754535551118
5.0,Ensemble_rcp45,-412.4530551782403,-412.4530551782403,-412.4530551782403,-398.5702704762582
5.0,Ensemble_rcp85,-302.82383920904033,-302.1968747386282,-149.21754395807773,-26.95947222771993
6.0,NONE,-345.44638185826165,-297.49008538687383,-290.3324291971145,-248.46014048702216
6.0,Ensemble_rcp45,-346.52003028672556,-345.7147939653776,-250.78637874869392,-102.086071406443
6.0,Ensemble_rcp85,-357.7933387855966,-333.90466125227465,-333.27836633567074,-278.6117671863834
7.0,NONE,-283.3173123283502,-268.9357228700584,-273.60973944400325,-275.0478983898324
7.0,Ensemble_rcp45,-274.68835865337513,-274.68835865337513,-274.68835865337513,-138.4227985360595
7.0,Ensemble_rcp85,-239.8130042170173,-239.8130042170173,-1.3482740117148648,-1.078619209371892
8.0,NONE,-58.42086398445155,-31.033305221573194,-26.676193600206183,-35.56825813360825
8.0,Ensemble_rcp45,-57.620578176445356,-56.19784785110103,-57.3538162404433,-27.031876181542273
8.0,Ensemble_rcp85,-47.483624608367016,-44.99384653901443,-8.269620016063918,-15.205430352117524
9.0,NONE,-100.58284653620228,-100.22071207522582,-97.77630446363496,-53.50536660926693
9.0,Ensemble_rcp45,-79.85064864530187,-157.34742329425703,-92.9780228556973,-24.806210576885167
9.0,Ensemble_rcp85,-20.551130660412166,-17.925655818333077,-11.135634675025095,-17.744588587844863
10.0,NONE,-46.25382303825581,-31.20080370627906,-32.84295126976744,-36.583398497713176
10.0,Ensemble_rcp45,-77.3633963243411,-77.8195484253101,-79.09677430802329,-28.37266068027131
10.0,Ensemble_rcp85,-26.18313059562015,-23.628678830193802,-13.410871768488372,-34.576329253449614
11.0,NONE,-131.93918618513806,-87.7259884256857,-95.6931191110524,-74.9435589744381
11.0,Ensemble_rcp45,-126.24837855273331,-124.05960638642378,-102.78474092989524,-47.54013145224286
11.0,Ensemble_rcp85,-135.8789760844952,-121.60818156015712,-105.06106398285716,-76.43192404752854
12.0,NONE,-230.46129170362428,-173.24887313384346,-174.95002485970554,-137.97235839754663
12.0,Ensemble_rcp45,-204.7649472129715,-206.91377044563936,-126.15383061787361,-85.1471205944626
12.0,Ensemble_rcp85,-223.8357534028985,-219.09043543075705,-190.4394589951861,-132.60030031587706
13.0,NONE,-44.54837802284999,-40.93157901505425,-43.13694426371019,-67.572391218818
13.0,Ensemble_rcp45,-39.96121830564563,-29.37546511209712,-35.462273198387514,-54.51662894677484
13.0,Ensemble_rcp85,-41.72551050457038,-30.257611211559496,-31.051542701075636,-53.36983901747375
14.0,NONE,-134.93673911255246,-79.78402431654887,-81.83663344326096,-70.59190518388161
14.0,Ensemble_rcp45,-99.23918908277666,-81.30117019281434,-115.21384272110136,-30.16442977516054
14.0,Ensemble_rcp85,-33.02023377754261,-36.14376940514799,-16.15314138847354,-8.21043650684843
15.0,NONE,-69.17721813011448,-67.1825932299015,-60.65472992011349,-60.11074131096449
15.0,Ensemble_rcp45,-50.046952041707996,-49.956287273516494,-35.35925959468499,-6.4371985415965
15.0,Ensemble_rcp85,-49.0496395916015,-49.593628200750494,-36.900560653940495,-6.6185280779795
16.0,NONE,-115.5280769535483,-83.64907647213103,-92.17382311897241,-115.26167862083449
16.0,Ensemble_rcp45,-118.1920602806862,-95.10420477882415,-95.45940255577587,-82.1394859200862
16.0,Ensemble_rcp85,-117.30406583830691,-95.63700144425174,-107.2697286394207,-82.84988147398965
17.0,NONE,-125.37841732047958,-124.83526172197926,-117.41213520914224,-164.12351668016566
17.0,Ensemble_rcp45,-164.3045685463324,-175.71083611483812,-209.65806102110514,-146.0183300634899
17.0,Ensemble_rcp85,-104.82903051055258,-104.82903051055258,-57.30291564177876,-90.79751088262887
18.0,NONE,-676.130659708527,-510.33996384765913,-430.01117476135033,-668.025737042868
18.0,Ensemble_rcp45,-796.8039527305605,-790.4100692943184,-805.3591488776449,-372.1960597463163
18.0,Ensemble_rcp85,-816.3458218244272,-810.6723759584659,-255.93544684225284,-634.1651712396707
19.0,NONE,-328.18684183398625,-303.9528815786701,-233.12890917198968,-423.8707439490721
19.0,Ensemble_rcp45,-513.9209209863538,-500.7755624714776,-514.0103451939381,-44.622679584512035
19.0,Ensemble_rcp85,-159.80105895295193,-172.32044801473887,49.898707831979365,-443.5440696175944
20.0,NONE,-563.9137271261116,-481.4491178372524,-432.6012290563107,-872.5026038529464
20.0,Ensemble_rcp45,-682.5185640923833,-663.1416340409028,-628.4434104603445,-609.1566056649173
