stand,climateScenario,none,first,second,both
0,NONE,32.80055422233099,25.685466538528168,28.318048981535213,26.539277060584507
0,Ensemble_rcp45,31.16408405505635,28.17574722785916,28.88725599623945,28.31804898153522
0,Ensemble_rcp85,31.092933178218324,29.527613887781705,28.104596351021137,28.531501612049308
1,NONE,99.76784188747223,87.99399719267733,72.05947053806779,77.63655486718112
1,Ensemble_rcp45,94.19075755835888,91.53500311592394,89.58744985813833,89.32187441389483
1,Ensemble_rcp85,92.42025459673557,92.42025459673557,85.69234334256711,84.80709186175548
2,NONE,387.6375453241421,331.21785144529673,353.0286596221026,310.39844364016363
2,Ensemble_rcp45,375.7407408640659,335.093325625473,342.4837647597625,329.32517800846637
2,Ensemble_rcp85,374.7493404923929,326.8016134260261,343.7455470509827,332.2092518169695
3,NONE,269.34669291229505,290.8404690745783,261.5225986607526,270.60574256196855
3,Ensemble_rcp45,317.2805117177218,320.78786431324085,313.50336276870127,307.11818240249994
3,Ensemble_rcp85,312.24431311902777,312.24431311902777,299.29408815095746,296.77598885161046
4,NONE,415.0992021110687,375.8963899273265,350.5722744707025,356.5202873537529
4,Ensemble_rcp45,456.55504947778394,451.23788644596607,381.2135529591441,392.2984860593745
4,Ensemble_rcp85,418.97442262578255,418.8843012184636,406.53766841576794,406.0870613791732
5,NONE,295.6585309757591,208.86873500014246,188.98500465278755,187.55194300613138
5,Ensemble_rcp45,324.94672837929534,308.91435120732905,335.06772625880484,272.28171286467966
5,Ensemble_rcp85,283.1192415675173,282.76097615585326,263.8624756905745,276.22263239298434
6,NONE,224.03463873946825,174.64681103012862,159.52626232926198,162.92614901939766
6,Ensemble_rcp45,157.11055336521818,178.49405123212435,161.13673497195782,179.47822895821622
6,Ensemble_rcp85,213.20868375245723,210.97191619315743,180.82028949379614,189.05159411201936
7,NONE,315.94554341185,320.7993298540234,303.3616526358445,318.46232156705094
7,Ensemble_rcp45,293.47430988326886,293.47430988326886,308.3952089462467,226.33026409986863
7,Ensemble_rcp85,293.3844249491545,293.3844249491545,293.2046550809259,293.2046550809259
8,NONE,60.3771181818,56.37568914176908,47.03902138169692,55.48648268842887
8,Ensemble_rcp45,64.02286464049484,63.7561027044928,54.68619688042269,53.97483171775052
8,Ensemble_rcp85,62.06661044314641,62.06661044314641,60.82172140847012,57.26489559510929
9,NONE,101.12604822766689,89.62827909166539,92.70642200996501,88.27027486300379
9,Ensemble_rcp45,95.96563215875284,105.92432983560454,94.0644262386266,93.15909008618551
9,Ensemble_rcp85,94.0644262386266,92.16322031850035,94.0644262386266,92.34428754898856
10,NONE,39.50277194391474,36.30970723713178,31.383264546666666,31.383264546666666
10,Ensemble_rcp45,45.61521009689922,47.987201021937985,47.53104892096899,41.69230202856589
