stand,climate,baseline,trtIn1,trtIn2
0.0,NONE,0.0,0.0,0.0
0.0,Ensemble_rcp45,0.0,0.0,0.0
0.0,Ensemble_rcp85,0.0,0.0,0.0
1.0,NONE,0.0,0.0,0.0
1.0,Ensemble_rcp45,0.0,0.0,0.0
1.0,Ensemble_rcp85,0.0,0.0,0.0
2.0,NONE,4.624017562809101,13.6916007088625,13.579091593442124
2.0,Ensemble_rcp45,4.624017562809101,33.54752198450048,22.163809670326426
2.0,Ensemble_rcp85,4.624017562809101,45.06546607805147,14.664688771018787
3.0,NONE,0.0,0.0,0.0
3.0,Ensemble_rcp45,0.0,0.0,0.0
3.0,Ensemble_rcp85,0.0,0.0,0.0
4.0,NONE,0.0,0.0,0.0
4.0,Ensemble_rcp45,0.0,0.0,0.0
4.0,Ensemble_rcp85,0.0,0.0,0.0
5.0,NONE,0.0,0.0,0.0
5.0,Ensemble_rcp45,0.0,0.0,0.0
5.0,Ensemble_rcp85,0.0,0.0,0.0
6.0,NONE,0.0,0.0,0.0
6.0,Ensemble_rcp45,0.0,0.0,0.0
6.0,Ensemble_rcp85,0.0,0.0,0.0
7.0,NONE,0.0,0.0,0.0
7.0,Ensemble_rcp45,0.0,0.0,0.0
7.0,Ensemble_rcp85,0.0,0.0,0.0
8.0,NONE,0.0,0.0,0.0
8.0,Ensemble_rcp45,0.0,0.0,0.0
8.0,Ensemble_rcp85,0.0,0.0,0.0
9.0,NONE,0.0,0.0,0.0
9.0,Ensemble_rcp45,0.0,0.0,0.0
9.0,Ensemble_rcp85,0.0,0.0,0.0
10.0,NONE,0.0,0.0,0.0
10.0,Ensemble_rcp45,0.0,0.0,0.0
10.0,Ensemble_rcp85,0.0,0.0,0.0
11.0,NONE,0.0,0.0,0.0
11.0,Ensemble_rcp45,0.0,0.0,0.0
11.0,Ensemble_rcp85,0.0,0.0,0.0
12.0,NONE,0.0,0.0,0.0
12.0,Ensemble_rcp45,0.0,0.0,0.0
12.0,Ensemble_rcp85,0.0,0.0,0.0
13.0,NONE,0.0,0.0,0.0
13.0,Ensemble_rcp45,0.0,0.0,0.0
13.0,Ensemble_rcp85,0.0,0.0,0.0
14.0,NONE,0.0,0.0,0.0
14.0,Ensemble_rcp45,0.0,0.0,0.0
14.0,Ensemble_rcp85,0.0,0.0,0.0
15.0,NONE,0.0,0.0,0.0
15.0,Ensemble_rcp45,0.0,0.0,0.0
15.0,Ensemble_rcp85,0.0,0.0,0.0
16.0,NONE,0.0,0.0,0.0
16.0,Ensemble_rcp45,0.0,0.0,0.0
16.0,Ensemble_rcp85,0.0,0.0,0.0
17.0,NONE,0.0,0.0,0.0
17.0,Ensemble_rcp45,0.0,0.0,0.0
17.0,Ensemble_rcp85,0.0,0.0,0.0
18.0,NONE,0.0,0.0,0.0
18.0,Ensemble_rcp45,0.0,0.0,0.0
18.0,Ensemble_rcp85,0.0,0.0,0.0
19.0,NONE,0.0,0.0,0.0
19.0,Ensemble_rcp45,0.0,0.0,0.0
19.0,Ensemble_rcp85,0.0,0.0,0.0
20.0,NONE,0.0,0.0,0.0
20.0,Ensemble_rcp45,0.0,1.7042670162014562,0.0
20.0,Ensemble_rcp85,0.0,2.2861315667475726,0.0
21.0,NONE,0.0,0.0,0.0
21.0,Ensemble_rcp45,0.0,0.0,0.0
21.0,Ensemble_rcp85,0.0,0.0,0.0
22.0,NONE,0.0,0.0,0.0
22.0,Ensemble_rcp45,0.0,0.0,0.0
22.0,Ensemble_rcp85,0.0,0.0,0.0
23.0,NONE,0.0,0.0,0.0
23.0,Ensemble_rcp45,0.0,0.0,0.0
23.0,Ensemble_rcp85,0.0,0.0,0.0
24.0,NONE,0.0,0.0,0.0
24.0,Ensemble_rcp45,0.0,0.0,0.0
24.0,Ensemble_rcp85,0.0,0.0,0.0
25.0,NONE,0.0,0.0,0.0
25.0,Ensemble_rcp45,0.0,0.44399347121859434,0.27479092858052023
25.0,Ensemble_rcp85,0.0,0.44489385553348076,0.2669834982977311
26.0,NONE,0.0,0.0,0.0
26.0,Ensemble_rcp45,0.0,0.0,0.0
26.0,Ensemble_rcp85,0.0,0.0,0.0
27.0,NONE,0.0,0.0,0.0
27.0,Ensemble_rcp45,0.0,0.0,0.0
27.0,Ensemble_rcp85,0.0,0.0,0.0
28.0,NONE,0.0,0.0,0.0
28.0,Ensemble_rcp45,0.0,0.0,0.0
28.0,Ensemble_rcp85,0.0,0.0,0.0
29.0,NONE,0.0,0.0,0.0
29.0,Ensemble_rcp45,0.0,0.0,0.0
29.0,Ensemble_rcp85,0.0,0.0,0.0
30.0,NONE,0.0,0.20157328359583332,0.1931860457208333
30.0,Ensemble_rcp45,0.0,0.38315978460000005,0.06032662794374999
30.0,Ensemble_rcp85,0.0,0.05684121856875,0.006290509451041666
31.0,NONE,0.0,0.0,0.0
31.0,Ensemble_rcp45,0.0,0.0,0.0
31.0,Ensemble_rcp85,0.0,0.0,0.0
32.0,NONE,1.11925675747651,4.136312616993289,4.136312616993289
32.0,Ensemble_rcp45,1.11925675747651,3.387410285073826,0.9239520401107382
32.0,Ensemble_rcp85,1.11925675747651,3.471490572926174,3.0081528372852353
33.0,NONE,0.0,0.0,0.0
33.0,Ensemble_rcp45,0.0,3.0488540832655033,4.905437251782946
33.0,Ensemble_rcp85,0.0,4.029652030184109,6.090611076937986
34.0,NONE,0.006186512208333333,0.02011187179166666,0.02004338641666666
34.0,Ensemble_rcp45,0.006186512208333333,0.05787014284375,0.013925359583333328
34.0,Ensemble_rcp85,0.006186512208333333,0.040223743583333325,0.004268921708333337
35.0,NONE,0.0,0.0,0.0
35.0,Ensemble_rcp45,0.0,0.0,0.0
35.0,Ensemble_rcp85,0.0,0.0,0.0
36.0,NONE,0.0,0.0,0.0
36.0,Ensemble_rcp45,0.0,0.0,0.0
36.0,Ensemble_rcp85,0.0,0.0,0.0
37.0,NONE,0.0,0.0,0.0
37.0,Ensemble_rcp45,0.0,0.0,0.0
37.0,Ensemble_rcp85,0.0,0.0,0.0
38.0,NONE,0.0,0.0,0.0
38.0,Ensemble_rcp45,0.0,0.0,0.0
38.0,Ensemble_rcp85,0.0,0.0,0.0
39.0,NONE,0.0,0.0,0.0
39.0,Ensemble_rcp45,0.0,0.0,0.0
39.0,Ensemble_rcp85,0.0,0.0,0.0
40.0,NONE,0.0,0.0,0.0
40.0,Ensemble_rcp45,0.0,0.0,0.0
40.0,Ensemble_rcp85,0.0,0.0,0.0
41.0,NONE,0.0,0.0,0.0
41.0,Ensemble_rcp45,0.0,0.0,0.080337035
41.0,Ensemble_rcp85,0.0,0.0,0.0
42.0,NONE,0.0,0.0,0.0
