Stand,HillID,Hill Area (ha) within stand,PortionOfTotalHillArea,Sediment contribution from Hill segment (tonne/yr),CumulativeStandSedimentDelivery (tonnes),TotalStandSedimentDelivery
1,254,1.353835446,0.097398234,0.000,0,12.16077702
1,357,2.489182971,0.270563366,3.680,3.679661783,12.16077702
1,255,3.034350157,0.224766678,0.000,3.679661783,12.16077702
1,245,2.727298903,0.340912363,0.477,4.156939091,12.16077702
1,243,6.86213819,0.672758646,0.000,4.156939091,12.16077702
1,247,0.6622541,0.057587313,0.012,4.168456553,12.16077702
1,242,2.735160217,0.329537376,0.395,4.563901404,12.16077702
1,244,1.48117203,0.105047662,5.673,10.23647514,12.16077702
1,234,0.758879617,0.067757109,1.924,12.16077702,12.16077702
2,317,3.216557984,0.114468256,60.954,60.95434615,707.9270892
2,315,3.549777411,0.438244125,74.019,134.9737788,707.9270892
2,3,0.71687695,0.043185358,2.025,136.9991721,707.9270892
2,313,3.526023784,0.163241842,47.650,184.6494658,707.9270892
2,135,19.02765039,0.495511729,55.448,240.0972282,707.9270892
2,280,13.62150519,0.661238116,25.854,265.9516386,707.9270892
2,284,0.155485839,0.014531387,0.090,266.0417332,707.9270892
2,281,4.476133369,0.771747133,2.547,268.5884987,707.9270892
2,17,4.487376703,0.207748921,52.124,320.7127031,707.9270892
2,136,0.270130159,0.006891075,3.619,324.3312068,707.9270892
2,137,6.466376244,0.229304122,0.665,324.9961888,707.9270892
2,136,23.72237548,0.60516264,317.771,642.7670909,707.9270892
2,134,4.238804384,0.225468318,65.003,707.7696071,707.9270892
2,138,0.070209589,0.002797195,0.157,707.9270892,707.9270892
20,341,0.859171081,0.064117245,0.000,0,170.3057553
20,264,1.282289905,0.12822899,1.167,1.166883814,170.3057553
20,265,4.113822962,0.472853214,0.757,1.923448956,170.3057553
20,269,0.020198366,0.010099183,0.000,1.923448956,170.3057553
20,344,0.079193304,0.158386609,0.000,1.923448956,170.3057553
20,342,3.101991317,0.469998684,0.000,1.923448956,170.3057553
20,343,3.827725129,0.539116215,0.270,2.193007064,170.3057553
20,345,0.206775812,0.025527878,0.176,2.369149422,170.3057553
20,258,0.090045417,0.12863631,0.000,2.369149422,170.3057553
20,266,20.12908071,0.972419358,106.869,109.2380369,170.3057553
20,256,7.394498495,0.859825406,0.000,109.2380369,170.3057553
