Stand,HillID,Hill Area (ha) within stand,PortionOfTotalHillArea,Sediment contribution from Hill segment (tonne/yr),CumulativeStandSedimentDelivery (tonnes),TotalStandSedimentDelivery
1,254,1.353835446,0.097398234,0.000,0,18.87834079
1,357,2.489182971,0.270563366,3.003,3.003253367,18.87834079
1,255,3.034350157,0.224766678,0.000,3.003253367,18.87834079
1,245,2.727298903,0.340912363,0.818,3.821443038,18.87834079
1,243,6.86213819,0.672758646,0.000,3.821443038,18.87834079
1,247,0.6622541,0.057587313,0.000,3.821443038,18.87834079
1,242,2.735160217,0.329537376,0.428,4.249841626,18.87834079
1,244,1.48117203,0.105047662,7.710,11.96034,18.87834079
1,234,0.758879617,0.067757109,6.918,18.87834079,18.87834079
2,317,3.216557984,0.114468256,121.165,121.1646486,1652.322039
2,315,3.549777411,0.438244125,141.290,262.4545545,1652.322039
2,3,0.71687695,0.043185358,7.311,269.7658356,1652.322039
2,313,3.526023784,0.163241842,101.455,371.2206403,1652.322039
2,135,19.02765039,0.495511729,182.646,553.8662636,1652.322039
2,280,13.62150519,0.661238116,46.154,600.0206841,1652.322039
2,284,0.155485839,0.014531387,0.169,600.1892482,1652.322039
2,281,4.476133369,0.771747133,1.158,601.3468689,1652.322039
2,17,4.487376703,0.207748921,132.731,734.0776548,1652.322039
2,136,0.270130159,0.006891075,8.916,742.9940174,1652.322039
2,137,6.466376244,0.229304122,0.436,743.4296952,1652.322039
2,136,23.72237548,0.60516264,783.020,1526.449635,1652.322039
2,134,4.238804384,0.225468318,125.676,1652.125675,1652.322039
2,138,0.070209589,0.002797195,0.196,1652.322039,1652.322039
20,341,0.859171081,0.064117245,0.000,0,313.9620685
20,264,1.282289905,0.12822899,1.821,1.820851665,313.9620685
20,265,4.113822962,0.472853214,0.520,2.3409902,313.9620685
20,269,0.020198366,0.010099183,0.000,2.3409902,313.9620685
20,344,0.079193304,0.158386609,0.000,2.3409902,313.9620685
20,342,3.101991317,0.469998684,0.000,2.3409902,313.9620685
20,343,3.827725129,0.539116215,0.108,2.448813444,313.9620685
20,345,0.206775812,0.025527878,0.263,2.711750587,313.9620685
20,258,0.090045417,0.12863631,0.000,2.711750587,313.9620685
20,266,20.12908071,0.972419358,157.629,160.3409285,313.9620685
20,256,7.394498495,0.859825406,0.000,160.3409285,313.9620685
20,257,6.659572828,0.951367547,0.000,160.3409285,313.9620685
20,263,4.714017175,0.567953876,0.398,160.7384962,313.9620685
20,259,2.51613239,0.314516549,18.273,179.0119077,313.9620685
20,258,0.288708521,0.412440744,0.000,179.0119077,313.9620685
20,248,0.090045182,0.017655918,0.011,179.0225013,313.9620685
20,250,0.49063767,0.446034246,0.000,179.0225013,313.9620685
20,356,6.09565752,0.331285735,0.000,179.0225013,313.9620685
20,355,2.152696815,0.321298032,0.000,179.0225013,313.9620685
20,253,2.490471332,0.132471879,4.637,183.6590171,313.9620685
20,262,0.022810057,0.000792016,0.004,183.6632147,313.9620685
