Stand,HillID,Hill Area (ha) within stand,PortionOfTotalHillArea,Sediment contribution from Hill segment (tonne/yr),CumulativeStandSedimentDelivery (tonnes),TotalStandSedimentDelivery
1,254,1.353835446,0.097398234,0.000,0,9.128919102
1,357,2.489182971,0.270563366,1.975,1.975112574,9.128919102
1,255,3.034350157,0.224766678,0.000,1.975112574,9.128919102
1,245,2.727298903,0.340912363,1.330,3.30467079,9.128919102
1,243,6.86213819,0.672758646,0.000,3.30467079,9.128919102
1,247,0.6622541,0.057587313,0.006,3.310429521,9.128919102
1,242,2.735160217,0.329537376,0.956,4.26608791,9.128919102
1,244,1.48117203,0.105047662,4.002,8.268403822,9.128919102
1,234,0.758879617,0.067757109,0.861,9.128919102,9.128919102
2,317,3.216557984,0.114468256,76.511,76.51058209,796.8497119
2,315,3.549777411,0.438244125,63.721,140.2312778,796.8497119
2,3,0.71687695,0.043185358,3.032,143.26289,796.8497119
2,313,3.526023784,0.163241842,51.797,195.0595264,796.8497119
2,135,19.02765039,0.495511729,95.287,290.3464319,796.8497119
2,280,13.62150519,0.661238116,36.963,327.3096426,796.8497119
2,284,0.155485839,0.014531387,0.096,327.4055497,796.8497119
2,281,4.476133369,0.771747133,1.158,328.5631704,796.8497119
2,17,4.487376703,0.207748921,34.445,363.0079416,796.8497119
2,136,0.270130159,0.006891075,4.242,367.2500877,796.8497119
2,137,6.466376244,0.229304122,2.683,369.9329459,796.8497119
2,136,23.72237548,0.60516264,372.538,742.471067,796.8497119
2,134,4.238804384,0.225468318,54.293,796.763838,796.8497119
2,138,0.070209589,0.002797195,0.086,796.8497119,796.8497119
20,341,0.859171081,0.064117245,0.000,0,142.8730067
20,264,1.282289905,0.12822899,0.346,0.346218274,142.8730067
20,265,4.113822962,0.472853214,1.182,1.528351309,142.8730067
20,269,0.020198366,0.010099183,0.000,1.528351309,142.8730067
20,344,0.079193304,0.158386609,0.000,1.528351309,142.8730067
20,342,3.101991317,0.469998684,0.000,1.528351309,142.8730067
20,343,3.827725129,0.539116215,0.377,1.90573266,142.8730067
20,345,0.206775812,0.025527878,0.130,2.035924838,142.8730067
20,258,0.090045417,0.12863631,0.000,2.035924838,142.8730067
20,266,20.12908071,0.972419358,67.389,69.42458635,142.8730067
20,256,7.394498495,0.859825406,0.000,69.42458635,142.8730067
20,257,6.659572828,0.951367547,0.000,69.42458635,142.8730067
20,263,4.714017175,0.567953876,0.738,70.16292639,142.8730067
20,259,2.51613239,0.314516549,8.681,78.84358314,142.8730067
20,258,0.288708521,0.412440744,0.000,78.84358314,142.8730067
20,248,0.090045182,0.017655918,0.025,78.86830142,142.8730067
20,250,0.49063767,0.446034246,0.000,78.86830142,142.8730067
20,356,6.09565752,0.331285735,0.530,79.3983586,142.8730067
20,355,2.152696815,0.321298032,0.000,79.3983586,142.8730067
20,253,2.490471332,0.132471879,0.477,79.87525736,142.8730067
20,262,0.022810057,0.000792016,0.014,79.88911764,142.8730067
20,205,8.020909282,0.72260444,9.322,89.21071491,142.8730067
20,248,5.042533016,0.988731964,1.384,90.59493966,142.8730067
20,252,0.540272049,1.080544098,0.000,90.59493966,142.8730067
20,251,7.887691041,0.896328527,30.386,120.9804767,142.8730067
20,249,5.76289969,0.993603395,0.596,121.5766388,142.8730067
20,215,0.090045167,0.900451674,0.000,121.5766388,142.8730067
20,254,6.610465841,0.475573082,0.000,121.5766388,142.8730067
20,357,4.504694521,0.489640709,3.574,125.151016,142.8730067
20,246,4.502272684,1.000505041,0.000,125.151016,142.8730067
20,254,0.090045981,0.006478128,0.000,125.151016,142.8730067
20,255,8.955440598,0.66336597,0.000,125.151016,142.8730067
20,216,6.09917839,0.896937999,11.391,136.5421285,142.8730067
20,245,5.279689306,0.659961163,2.574,139.1159771,142.8730067
20,207,0.359669352,0.399632614,0.000,139.1159771,142.8730067
20,226,0.149297537,0.497658456,0.000,139.1159771,142.8730067
20,209,0.090045109,0.045022554,0.000,139.1159771,142.8730067
20,243,0.738488193,0.072400803,0.000,139.1159771,142.8730067
20,247,9.003384195,0.782902973,0.078,139.1942674,142.8730067
20,208,0.127827799,0.142030888,0.014,139.2084705,142.8730067
20,228,0.015144869,0.021635528,0.000,139.2084705,142.8730067
20,242,0.118478558,0.014274525,0.041,139.2498666,142.8730067
20,206,0.593863857,0.059986248,0.996,140.2456383,142.8730067
20,209,0.039965489,0.019982744,0.000,140.2456383,142.8730067
20,217,0.60257769,0.078256843,2.622,142.8672425,142.8730067
20,210,0.007603855,0.001226428,0.006,142.8730067,142.8730067
21,190,2.37415E-06,2.8953E-07,0.000,4.92202E-07,55.65745221
21,179,3.149489024,0.388825805,5.521,5.521326929,55.65745221
21,94,0.240352349,0.024778593,0.000,5.521326929,55.65745221
21,97,5.977325309,0.703214742,0.000,5.521326929,55.65745221
21,180,0.123051634,0.094655103,0.000,5.521326929,55.65745221
21,96,0.301980329,0.167766849,0.000,5.521326929,55.65745221
21,171,12.81131863,0.767144828,12.965,18.48607453,55.65745221
21,181,2.574942541,0.451744305,0.000,18.48607453,55.65745221
21,176,2.497337464,0.356762495,0.000,18.48607453,55.65745221
21,166,0.490114737,0.11954018,0.000,18.48607453,55.65745221
21,166,0.090044991,0.021962193,0.000,18.48607453,55.65745221
21,165,0.264359515,0.101676737,0.000,18.48607453,55.65745221
21,167,1.658577971,0.975634101,0.000,18.48607453,55.65745221
21,170,5.085090077,0.598245891,24.109,42.59538395,55.65745221
21,169,9.546674044,0.909207052,0.000,42.59538395,55.65745221
21,168,4.320472523,0.815183495,0.000,42.59538395,55.65745221
21,168,0.090045109,0.016989643,0.000,42.59538395,55.65745221
21,168,0.090045094,0.01698964,0.000,42.59538395,55.65745221
21,168,0.003901849,0.000736198,0.000,42.59538395,55.65745221
21,172,2.419021358,0.967608543,0.000,42.59538395,55.65745221
21,174,4.924612157,0.315680266,8.681,51.27659128,55.65745221
21,174,2.05256286,0.131574542,3.618,54.89489119,55.65745221
21,173,0.841869864,0.051648458,0.015,54.91038573,55.65745221
21,178,0.341595455,0.027771988,0.747,55.65745221,55.65745221
25,384,2.080116541,0.21225679,1.337,1.337217777,67.29745458
25,389,0.033015899,0.003751807,0.000,1.337217777,67.29745458
25,405,0.018021614,0.001594833,0.000,1.337217777,67.29745458
25,411,0.398080335,0.044728127,0.148,1.484820597,67.29745458
25,407,9.67713E-05,3.0241E-05,0.000,1.484820597,67.29745458
25,412,0.166309576,0.020281656,0.000,1.484820597,67.29745458
25,403,0.002696289,0.000166438,0.000,1.484953747,67.29745458
25,391,0.050647888,0.003399187,0.000,1.484953747,67.29745458
25,404,0.090045255,0.027286441,0.000,1.484953747,67.29745458
25,404,0.002075454,0.000628925,0.000,1.484953747,67.29745458
25,409,0.141162104,0.128329186,0.000,1.484953747,67.29745458
25,410,0.090045679,0.026484023,0.000,1.484953747,67.29745458
25,385,0.205850066,0.082340026,0.000,1.484953747,67.29745458
25,391,1.894325169,0.127135917,0.000,1.484953747,67.29745458
25,410,0.410555978,0.120751758,0.000,1.484953747,67.29745458
25,404,2.199297529,0.666453797,0.000,1.484953747,67.29745458
25,406,10.14958893,0.672158208,0.000,1.484953747,67.29745458
25,338,0.090045262,0.005424413,0.069,1.553843798,67.29745458
25,398,0.069592107,0.008699013,0.021,1.57472143,67.29745458
25,398,0.090045735,0.011255717,0.027,1.60173515,67.29745458
25,386,8.647386874,0.891483183,0.000,1.60173515,67.29745458
25,395,7.840777735,0.753920936,13.344,14.94613572,67.29745458
25,403,9.777706964,0.603562158,0.483,15.42898544,67.29745458
25,401,1.980996442,0.990498221,0.000,15.42898544,67.29745458
25,400,9.068981183,0.975159267,0.000,15.42898544,67.29745458
25,398,7.743912346,0.967989043,2.323,17.75215915,67.29745458
25,388,0.270138202,0.192955859,0.000,17.75215915,67.29745458
25,388,0.090046053,0.064318609,0.000,17.75215915,67.29745458
