Stand,HillID,Hill Area (ha) within stand,PortionOfTotalHillArea,Sediment contribution from Hill segment (tonne/yr),CumulativeStandSedimentDelivery (tonnes),TotalStandSedimentDelivery
1,254,1.353835446,0.097398234,0.000,0,6.357985021
1,357,2.489182971,0.270563366,1.407,1.406929505,6.357985021
1,255,3.034350157,0.224766678,0.000,1.406929505,6.357985021
1,245,2.727298903,0.340912363,0.989,2.395575357,6.357985021
1,243,6.86213819,0.672758646,0.000,2.395575357,6.357985021
1,247,0.6622541,0.057587313,0.006,2.401334089,6.357985021
1,242,2.735160217,0.329537376,0.758,3.159270052,6.357985021
1,244,1.48117203,0.105047662,2.521,5.680413934,6.357985021
1,234,0.758879617,0.067757109,0.678,6.357985021,6.357985021
2,317,3.216557984,0.114468256,49.279,49.27858407,521.5150035
2,315,3.549777411,0.438244125,40.844,90.1229365,521.5150035
2,3,0.71687695,0.043185358,2.371,92.49381267,521.5150035
2,313,3.526023784,0.163241842,36.713,129.2069029,521.5150035
2,135,19.02765039,0.495511729,63.128,192.3350972,521.5150035
2,280,13.62150519,0.661238116,27.177,219.5119837,521.5150035
2,284,0.155485839,0.014531387,0.067,219.5788281,521.5150035
2,281,4.476133369,0.771747133,0.849,220.42775,521.5150035
2,17,4.487376703,0.207748921,14.355,234.7832004,521.5150035
2,136,0.270130159,0.006891075,2.792,237.5754642,521.5150035
2,137,6.466376244,0.229304122,2.660,240.235392,521.5150035
2,136,23.72237548,0.60516264,245.212,485.4472937,521.5150035
2,134,4.238804384,0.225468318,36.007,521.4545841,521.5150035
2,138,0.070209589,0.002797195,0.060,521.5150035,521.5150035
20,341,0.859171081,0.064117245,0.000,0,96.21712788
20,264,1.282289905,0.12822899,0.013,0.012822899,96.21712788
20,265,4.113822962,0.472853214,0.946,0.958529327,96.21712788
20,269,0.020198366,0.010099183,0.000,0.958529327,96.21712788
20,344,0.079193304,0.158386609,0.000,0.958529327,96.21712788
20,342,3.101991317,0.469998684,0.000,0.958529327,96.21712788
20,343,3.827725129,0.539116215,0.270,1.228087435,96.21712788
20,345,0.206775812,0.025527878,0.092,1.319987796,96.21712788
20,258,0.090045417,0.12863631,0.000,1.319987796,96.21712788
20,266,20.12908071,0.972419358,44.926,46.24576214,96.21712788
20,256,7.394498495,0.859825406,0.000,46.24576214,96.21712788
20,257,6.659572828,0.951367547,0.000,46.24576214,96.21712788
20,263,4.714017175,0.567953876,0.568,46.81371601,96.21712788
20,259,2.51613239,0.314516549,4.498,51.31130266,96.21712788
20,258,0.288708521,0.412440744,0.000,51.31130266,96.21712788
20,248,0.090045182,0.017655918,0.021,51.33248976,96.21712788
20,250,0.49063767,0.446034246,0.000,51.33248976,96.21712788
20,356,6.09565752,0.331285735,0.464,51.79628979,96.21712788
20,355,2.152696815,0.321298032,0.000,51.79628979,96.21712788
20,253,2.490471332,0.132471879,0.119,51.91551448,96.21712788
20,262,0.022810057,0.000792016,0.012,51.92747392,96.21712788
20,205,8.020909282,0.72260444,3.396,55.32371479,96.21712788
20,248,5.042533016,0.988731964,1.186,56.51019315,96.21712788
