Stand_GNN,SoilName,PctOfStand,Climate,BaselineSed,TrtIn2025,SedSpikeIn2025,TrtIn2045,SedSpikeIn2045
Stand_291_GNN_137417,Minkwell,,,,,,,
Stand_251_GNN_13642,Dinzer,,,,,,,
Stand_116_GNN_78642,Dinzer,,,,,,,
Stand_207_GNN_150017,Dinzer,,,,,,,
Stand_119_GNN_24337,Minkwell,,,,,,,
Stand_2_GNN_146071,Minkwell,,,,,,,
Stand_9_GNN_29477,Minkwell,,,,,,,
Stand_50_GNN_130631,Minkwell,,,,,,,
Stand_96_GNN_81141,Dinzer,,,,,,,
Stand_97_GNN_84329,Dinzer,,,,,,,
Stand_87_GNN_82721,Rock outcrop,,,,,,,
Stand_277_GNN_25052,Dinzer,,,,,,,
Stand_24_GNN_94106,Rock outcrop,,,,,,,
Stand_196_GNN_83057,Dinzer,,,,,,,
Stand_92_GNN_78779,Dinzer,,,,,,,
Stand_50_GNN_93824,Minkwell,,,,,,,
Stand_2_GNN_137472,Minkwell,,,,,,,
Stand_198_GNN_14347,Minkwell,,,,,,,
Stand_288_GNN_9024,Minkwell,,,,,,,
Stand_101_GNN_13575,Dinzer,,,,,,,
Stand_101_GNN_13574,Dinzer,,,,,,,
Stand_78_GNN_14451,Dinzer,,,,,,,
Stand_53_GNN_8686,Minkwell,,,,,,,
Stand_6_GNN_82600,Minkwell,,,,,,,
Stand_102_GNN_24403,Dinzer,,,,,,,
Stand_57_GNN_128648,Minkwell,,,,,,,
Stand_39_GNN_23546,Minkwell,,,,,,,
Stand_133_GNN_78788,Dinzer,,,,,,,
Stand_275_GNN_13505,Minkwell,,,,,,,
Stand_19_GNN_137444,Dinzer,,,,,,,
Stand_102_GNN_127780,Dinzer,,,,,,,
Stand_299_GNN_133913,Minkwell,,,,,,,
Stand_16_GNN_8685,Minkwell,,,,,,,
Stand_276_GNN_100761,Minkwell,,,,,,,
Stand_203_GNN_13575,Dinzer,,,,,,,
Stand_286_GNN_141180,Minkwell,,,,,,,
Stand_211_GNN_83057,Minkwell,,,,,,,
Stand_263_GNN_25119,Dinzer,,,,,,,
Stand_233_GNN_130378,Dinzer,,,,,,,
Stand_263_GNN_29475,Dinzer,,,,,,,
Stand_71_GNN_136333,Minkwell,,,,,,,
Stand_233_GNN_84053,Dinzer,,,,,,,
Stand_204_GNN_94084,Minkwell,,,,,,,
Stand_60_GNN_8685,Dinzer,,,,,,,
Stand_295_GNN_25090,Minkwell,,,,,,,
Stand_285_GNN_137363,Dinzer,,,,,,,
Stand_91_GNN_20587,Dinzer,,,,,,,
Stand_53_GNN_24422,Minkwell,,,,,,,
Stand_20_GNN_9024,Dinzer,,,,,,,
Stand_80_GNN_12833,Dinzer,,,,,,,
Stand_58_GNN_24403,Minkwell,,,,,,,
Stand_20_GNN_9023,Dinzer,,,,,,,
Stand_136_GNN_8142,Minkwell,,,,,,,
Stand_58_GNN_137417,Minkwell,,,,,,,
Stand_20_GNN_2945,Dinzer,,,,,,,
Stand_20_GNN_2946,Dinzer,,,,,,,
Stand_28_GNN_24237,Dinzer,,,,,,,
Stand_109_GNN_127780,Minkwell,,,,,,,
Stand_116_GNN_8533,Dinzer,,,,,,,
Stand_296_GNN_13333,Minkwell,,,,,,,
Stand_43_GNN_14528,Minkwell,,,,,,,
Stand_37_GNN_20760,Minkwell,,,,,,,
