Stand ID,Mgmt ID,2025,2045
0_2331_MCW,E45,2,2
0_2331_MCW,E85,2,2
0_2331_MCW,NONE,2,2
0_2642_MHD,E45,2,2
0_2642_MHD,E85,2,2
0_2642_MHD,NONE,3,2
0_9024_MCD,E45,3,2
0_9024_MCD,E85,3,2
0_9024_MCD,NONE,3,3
0_13091_MCW,E45,2,0
0_13091_MCW,E85,2,0
0_13091_MCW,NONE,2,2
0_13239_MHD,E45,2,2
0_13239_MHD,E85,2,2
0_13239_MHD,NONE,2,2
0_14451_MCW,E45,3,3
0_14451_MCW,E85,3,3
0_14451_MCW,NONE,3,3
0_14452_MCD,E45,3,2
0_14452_MCD,E85,3,2
0_14452_MCD,NONE,3,2
0_14453_MCD,E45,2,2
0_14453_MCD,E85,2,2
0_14453_MCD,NONE,2,2
0_14498_MCD,E45,2,2
0_14498_MCD,E85,2,2
0_14498_MCD,NONE,2,3
0_20760_MCW,E45,2,2
0_20760_MCW,E85,2,2
0_20760_MCW,NONE,2,3
0_21112_MCD,E45,2,3
0_21112_MCD,E85,2,3
0_21112_MCD,NONE,2,3
0_21178_MHD,E45,3,0
0_21178_MHD,E85,3,0
0_21178_MHD,NONE,3,3
0_21307_MCW,E45,2,0
0_21307_MCW,E85,2,3
0_21307_MCW,NONE,2,2
0_21345_MHD,E45,0,1
0_21345_MHD,E85,1,1
0_21345_MHD,NONE,3,2
0_24218_MCW,E45,2,2
0_24218_MCW,E85,2,0
0_24218_MCW,NONE,2,2
0_24236_MHD,E45,0,1
0_24236_MHD,E85,0,1
0_24236_MHD,NONE,3,2
0_24237_MHD,E45,1,2
0_24237_MHD,E85,1,0
0_24237_MHD,NONE,2,2
0_24240_MCD,E45,2,2
0_24240_MCD,E85,2,2
0_24240_MCD,NONE,2,2
0_24259_MCD,E45,2,2
0_24259_MCD,E85,2,0
0_24259_MCD,NONE,2,2
0_24360_MCW,E45,2,2
0_24360_MCW,E85,2,0
0_24360_MCW,NONE,2,2
0_24817_LPD,E45,2,2
0_24817_LPD,E85,2,2
0_24817_LPD,NONE,2,2
0_25151_MCD,E45,2,2
0_25151_MCD,E85,2,2
0_25151_MCD,NONE,2,2
0_84088_MCW,E45,2,2
0_84088_MCW,E85,2,2
0_84088_MCW,NONE,2,2
0_85910_MCD,E45,1,2
0_85910_MCD,E85,2,2
0_85910_MCD,NONE,2,2
0_87655_MHD,E45,0,2
0_87655_MHD,E85,0,2
0_87655_MHD,NONE,3,2
0_129875_MCD,E45,2,2
0_129875_MCD,E85,2,2
0_129875_MCD,NONE,2,2
0_129921_MHD,E45,0,2
0_129921_MHD,E85,0,2
0_129921_MHD,NONE,2,2
0_130578_MHD,E45,0,2
0_130578_MHD,E85,0,2
0_130578_MHD,NONE,2,2
0_130881_MCD,E45,2,2
0_130881_MCD,E85,2,2
0_130881_MCD,NONE,2,2
0_133151_MCW,E45,2,2
0_133151_MCW,E85,2,0
0_133151_MCW,NONE,2,2
0_136333_MCW,E45,3,2
0_136333_MCW,E85,3,0
0_136333_MCW,NONE,3,3
0_137000_MCD,E45,2,2
0_137000_MCD,E85,2,2
0_137000_MCD,NONE,2,2
0_137167_MCW,E45,2,0
0_137167_MCW,E85,2,1
0_137167_MCW,NONE,2,2
0_137268_MCD,E45,3,0
0_137268_MCD,E85,3,0
0_137268_MCD,NONE,3,2
0_137444_MCD,E45,2,2
0_137444_MCD,E85,2,2
0_137444_MCD,NONE,2,2
0_137471_MCW,E45,2,0
0_137471_MCW,E85,2,2
0_137471_MCW,NONE,2,2
0_137472_MCD,E45,2,2
0_137472_MCD,E85,2,2
0_137472_MCD,NONE,2,2
0_137492_MCD,E45,3,0
0_137492_MCD,E85,3,0
0_137492_MCD,NONE,3,2
0_141226_MHD,E45,3,3
0_141226_MHD,E85,3,3
0_141226_MHD,NONE,3,3
0_145522_MCW,E45,2,2
0_145522_MCW,E85,2,2
0_145522_MCW,NONE,2,2
0_145614_LPD,E45,0,1
0_145614_LPD,E85,0,1
0_145614_LPD,NONE,3,2
0_149408_MCD,E45,2,2
0_149408_MCD,E85,2,2
0_149408_MCD,NONE,2,2
0_149460_MCD,E45,2,2
0_149460_MCD,E85,2,2
0_149460_MCD,NONE,2,2
1_8734_MHD,E45,0,2
1_8734_MHD,E85,0,2
1_8734_MHD,NONE,2,2
1_8798_MHD,E45,0,3
1_8798_MHD,E85,0,3
1_8798_MHD,NONE,3,3
1_8994_MHD,E45,0,2
1_8994_MHD,E85,0,2
1_8994_MHD,NONE,2,3
1_9895_MHD,E45,0,2
1_9895_MHD,E85,0,2
1_9895_MHD,NONE,2,2
1_14346_MHD,E45,0,2
1_14346_MHD,E85,0,2
