stand,area (ha)
0,10.103424511
1,25.849343239699998
2,91.1187068874
3,122.847272961
4,123.195963805
5,82.22191197689999
6,45.361646102600005
7,99.7722768669
8,17.2506051948
9,23.8103408092
10,11.768724205
11,18.385686197000002
12,30.8893339696
13,8.909675604569998
14,19.9013841416
15,9.06647681915
16,18.0262871803
17,33.2230174416
18,167.411680394
19,104.089777628
20,148.526421976
21,95.43705061620001
22,77.5170115543
23,25.833576865900003
24,55.0852247028
25,162.011077063
26,21.6314037883
27,22.892017366199997
28,39.588512042
29,77.4189431012
30,85.8664243283
31,67.712510497
32,53.32484278729999
33,46.3899263569
34,34.2738553637
35,5.72188239153
36,47.4888466496
37,116.32987611899999
38,7.3815482601
39,43.3224977867
40,12.5018768896
41,8.513806685260002
42,22.0143269592
43,15.1537791903
44,34.1234155786
45,21.3968243444
46,39.0028145421
47,44.1227104775
48,22.809651683600002
49,30.965582487800003
50,31.410088795100002
51,4.3089644299800005
52,12.06878078
53,23.4536492344
54,26.660246847800003
55,11.0466219644
56,13.1167757874
57,47.2308756333
58,29.0710090408
59,34.8859144506
60,18.4650713843
61,89.9225431914
62,34.3551623728
63,9.59444832023
64,31.8373237582
65,8.87949397239
66,13.1064615451
67,57.249258215699996
68,8.47094809567
69,36.7640653145
70,9.51680350441
71,8.99529259292
72,21.9029291522
73,42.329017159
74,31.5610888906
75,15.9216441802
76,11.8870586032
77,23.5585093302
78,41.0870855358
79,37.9968726282
80,37.0236908305
81,29.2884825427
82,19.5550051759
83,7.66540100663
84,26.2712327894
85,23.3188994731
86,29.141177767
87,122.576771704
88,21.976304785
89,10.0077836073
90,21.7350506329
91,49.2899453983
92,45.9103567308
93,57.8150827337
94,60.5071073075
95,130.652585587
96,84.11061681389998
97,63.038037941899994
98,42.6165697159
99,11.2095907837
100,24.2260644658
101,24.590397547600002
102,46.3438982682
103,21.878520404099998
104,50.0970648543
105,22.824363834699998
106,11.317023411400001
107,6.87177310539
108,31.666531445300002
109,11.317598419300001
110,11.5505683334
111,40.5209718579
112,32.6442350505
113,6.779216804450001
114,11.250845773800002
115,71.3480419055
116,16.976997931
117,19.1610991618
118,24.730284160500002
119,22.844025922399997
120,7.98911780082
121,38.0324387566
122,29.732368855900003
123,61.3971645167
124,24.527421140599998
125,38.5815588109
126,18.8265097253
127,13.6746233821
128,21.1988808764
129,19.4359983005
130,13.632703305
131,25.9222161998
132,25.0988338266
133,26.2731838282
134,5.84120758307
135,25.077382776300002
136,16.3307612278
137,18.1953846125
138,30.268073918899997
139,16.450983958
140,4.76863009139
141,14.1862650097
142,1.98577337255
143,5.65072126035
144,19.3106146295
145,11.6033062281
146,8.24574263216
147,12.3477171413
148,5.619350469
149,26.744742016700002
150,5.33290000339
151,28.193270013400003
152,2.61036542799
153,3.44697776959
154,2.82425280626
155,4.031524607480001
156,1.64685679243
157,5.38409194131
158,3.2815750538499997
159,5.05206180753
160,25.9569678744
161,2.3046815172999997
162,31.4758401381
163,6.454495425319999
164,96.01508646959999
165,3.73844351949
166,2.65118980191
167,1.25786599174
168,3.84508235604
169,2.68441591584
170,1.781706459
171,4.78955309803
172,3.6163881404100002
173,2.5209091144699998
174,2.34367650034
175,6.48912237627
176,3.5480847720999997
177,13.105024804600001
178,3.97968737041
179,2.15756930566
180,8.13407923011
181,4.02503017802
182,3.89523155962
183,2.41917079782
184,12.9869040578
185,5.42163073512
186,2.45422554004
187,6.78413465717
188,2.9656395875599997
189,11.5199751723
190,5.27626027366
191,2.04512789437
192,4.72426142998
193,3.41935174797
194,2.95299491649
195,3.4861149290899998
196,10.0733127086
197,8.18469462984
198,3.02705917241
199,5.74599800634
200,4.17537846469
201,9.3264931305
202,12.8089173455
203,6.31469087424
204,26.95722534
205,3.77242864472
206,4.18174678117
207,8.66259262509
208,2.70318682528
209,45.6919629198
210,4.33371612329
211,2.2123075213999996
212,6.27304039847
213,4.45007795084
214,11.5653160482
215,20.01438115
216,9.49448793338
217,3.4090565160299997
218,14.9924626994
219,1.12744559376
220,2.6810128054
221,8.10423509298
222,5.36369295216
223,8.14635489764
224,5.432879401569999
225,13.8962631127
226,7.7106969164
227,12.2941611551
228,2.53000864903
229,5.4957311219200005
230,26.245726520500003
231,2.7802778193199997
232,28.631152041999997
233,5.99066927686
234,7.89622461172
235,3.52271566677
236,293.405668015
237,1.47773309439
238,4.86641393574
239,0.905730832855
240,35.5574084487
241,14.410226270599999
242,3.57064242531
243,1.65878851175
244,89.5354649094
245,1.69664161373
246,4.26097441405
247,3.33969113477
248,32.5888582485
249,4.91652915196
250,5.99523699198
251,1.72395576593
252,0.952380643497
253,1.8727258143
254,0.747072543894
255,7.13183999713
256,17.9179573178
257,3.97144999773
258,1.22033250675
259,1.4862742038299999
260,4.77960608838
261,2.30705575696
262,1.6691384972799999
263,10.8648460031
264,58.2548405822
265,13.3269695648
266,28.5923582178
267,7.697503831390001
268,8.81104452664
269,4.57454876773
270,0.731830730546
271,3.2383298509899996
272,0.354904844186
273,3.24492111519
274,1.6707404995100001
275,18.1686138983
276,2.10030415538
277,15.4275607423
278,1.9895164616999998
279,2.03031772784
280,1.4176009827
281,1.94729634936
282,8.60539921439
283,34.9636408373
284,14.168689526500001
285,17.5824520937
286,23.7708338239
287,20.0220457006
288,15.2334152057
289,21.550965309000002
290,23.665361426999997
291,10.084480311
292,6.52437076558
293,3.0742180885900003
294,11.0308337892
295,14.9435574229
296,11.2662318275
297,9.3328476344
298,7.02178447115
299,5.09008708087
300,3.43074319208
301,3.1254103193900002
302,6.4776336162
