Stand,climateScenario,none,first,second,both
0,NONE,False,False,False,False
0,Ensemble_rcp45,False,False,False,False
0,Ensemble_rcp85,False,False,False,False
1,NONE,False,False,False,False
1,Ensemble_rcp45,False,False,False,False
1,Ensemble_rcp85,False,False,False,False
2,NONE,False,False,False,False
2,Ensemble_rcp45,False,False,False,False
2,Ensemble_rcp85,False,False,False,False
3,NONE,False,False,False,False
3,Ensemble_rcp45,False,False,False,False
3,Ensemble_rcp85,False,False,False,False
4,NONE,False,False,False,False
4,Ensemble_rcp45,False,False,False,False
4,Ensemble_rcp85,False,False,False,False
5,NONE,False,False,False,False
5,Ensemble_rcp45,False,False,False,False
5,Ensemble_rcp85,False,False,False,False
6,NONE,False,False,False,False
6,Ensemble_rcp45,False,False,False,False
6,Ensemble_rcp85,False,False,False,False
7,NONE,False,False,False,False
7,Ensemble_rcp45,False,False,False,False
7,Ensemble_rcp85,False,False,False,False
8,NONE,False,False,False,False
8,Ensemble_rcp45,False,False,False,False
8,Ensemble_rcp85,False,False,False,False
9,NONE,False,False,False,False
9,Ensemble_rcp45,False,False,False,False
9,Ensemble_rcp85,False,False,False,False
10,NONE,False,False,False,False
10,Ensemble_rcp45,False,False,False,False
10,Ensemble_rcp85,False,False,False,False
11,NONE,False,False,False,False
11,Ensemble_rcp45,False,False,False,False
11,Ensemble_rcp85,False,False,False,False
12,NONE,False,False,False,False
12,Ensemble_rcp45,False,False,False,False
12,Ensemble_rcp85,False,False,False,False
13,NONE,False,False,False,False
13,Ensemble_rcp45,False,False,False,False
13,Ensemble_rcp85,False,False,False,False
14,NONE,False,False,False,False
14,Ensemble_rcp45,False,False,False,False
14,Ensemble_rcp85,False,False,False,False
15,NONE,False,False,False,False
15,Ensemble_rcp45,False,False,False,False
15,Ensemble_rcp85,False,False,False,False
16,NONE,False,False,False,False
16,Ensemble_rcp45,False,False,False,False
16,Ensemble_rcp85,False,False,False,False
17,NONE,False,False,False,False
17,Ensemble_rcp45,False,False,False,False
17,Ensemble_rcp85,False,False,False,False
18,NONE,False,False,False,False
18,Ensemble_rcp45,False,False,False,False
18,Ensemble_rcp85,False,False,False,False
19,NONE,False,False,False,False
19,Ensemble_rcp45,False,False,False,False
19,Ensemble_rcp85,False,False,False,False
20,NONE,False,False,False,False
20,Ensemble_rcp45,False,False,False,False
20,Ensemble_rcp85,False,False,False,False
21,NONE,False,False,False,False
21,Ensemble_rcp45,False,False,False,False
21,Ensemble_rcp85,False,False,False,False
22,NONE,False,False,False,False
22,Ensemble_rcp45,False,False,False,False
22,Ensemble_rcp85,False,False,False,False
23,NONE,False,False,False,False
23,Ensemble_rcp45,False,False,False,False
23,Ensemble_rcp85,False,False,False,False
24,NONE,False,False,False,False
24,Ensemble_rcp45,False,False,False,False
24,Ensemble_rcp85,False,False,False,False
25,NONE,False,False,False,False
25,Ensemble_rcp45,False,False,False,False
25,Ensemble_rcp85,False,False,False,False
26,NONE,False,False,False,False
26,Ensemble_rcp45,False,False,False,False
26,Ensemble_rcp85,False,False,False,False
27,NONE,False,False,False,False
27,Ensemble_rcp45,False,False,False,False
27,Ensemble_rcp85,False,False,False,False
28,NONE,False,False,False,False
28,Ensemble_rcp45,False,False,False,False
28,Ensemble_rcp85,False,False,False,False
29,NONE,False,False,False,False
29,Ensemble_rcp45,False,False,False,False
29,Ensemble_rcp85,False,False,False,False
30,NONE,False,False,False,False
30,Ensemble_rcp45,False,False,False,False
30,Ensemble_rcp85,False,False,False,False
31,NONE,False,False,False,False
31,Ensemble_rcp45,False,False,False,False
31,Ensemble_rcp85,False,False,False,False
32,NONE,False,False,False,False
32,Ensemble_rcp45,False,False,False,False
32,Ensemble_rcp85,False,False,False,False
33,NONE,False,False,False,False
33,Ensemble_rcp45,False,False,False,False
33,Ensemble_rcp85,False,False,False,False
34,NONE,False,False,False,False
34,Ensemble_rcp45,False,False,False,False
34,Ensemble_rcp85,False,False,False,False
35,NONE,False,False,False,False
35,Ensemble_rcp45,False,False,False,False
35,Ensemble_rcp85,False,False,False,False
36,NONE,False,False,False,False
36,Ensemble_rcp45,False,False,False,False
36,Ensemble_rcp85,False,False,False,False
37,NONE,False,False,False,False
37,Ensemble_rcp45,False,False,False,False
37,Ensemble_rcp85,False,False,False,False
38,NONE,False,False,False,False
38,Ensemble_rcp45,False,False,False,False
38,Ensemble_rcp85,False,False,False,False
39,NONE,False,False,False,False
39,Ensemble_rcp45,False,False,False,False
39,Ensemble_rcp85,False,False,False,False
40,NONE,False,False,False,False
40,Ensemble_rcp45,False,False,False,False
40,Ensemble_rcp85,False,False,False,False
41,NONE,False,False,False,False
41,Ensemble_rcp45,False,False,False,False
41,Ensemble_rcp85,False,False,False,False
42,NONE,False,False,False,False
42,Ensemble_rcp45,False,False,False,False
42,Ensemble_rcp85,False,False,False,False
43,NONE,False,False,False,False
43,Ensemble_rcp45,False,False,False,False
43,Ensemble_rcp85,False,False,False,False
44,NONE,False,False,False,False
44,Ensemble_rcp45,False,False,False,False
44,Ensemble_rcp85,False,False,False,False
45,NONE,False,False,False,False
45,Ensemble_rcp45,False,False,False,False
45,Ensemble_rcp85,False,False,False,False
46,NONE,False,False,False,False
46,Ensemble_rcp45,False,False,False,False
46,Ensemble_rcp85,False,False,False,False
47,NONE,False,False,False,False
47,Ensemble_rcp45,False,False,False,False
47,Ensemble_rcp85,False,False,False,False
48,NONE,False,False,False,False
48,Ensemble_rcp45,False,False,False,False
48,Ensemble_rcp85,False,False,False,False
49,NONE,False,False,False,False
49,Ensemble_rcp45,False,False,False,False
49,Ensemble_rcp85,False,False,False,False
50,NONE,False,False,False,False
50,Ensemble_rcp45,False,False,False,False
50,Ensemble_rcp85,False,False,False,False
51,NONE,False,False,False,False
51,Ensemble_rcp45,False,False,False,False
51,Ensemble_rcp85,False,False,False,False
52,NONE,False,False,False,False
52,Ensemble_rcp45,False,False,False,False
52,Ensemble_rcp85,False,False,False,False
53,NONE,False,False,False,False
53,Ensemble_rcp45,False,False,False,False
53,Ensemble_rcp85,False,False,False,False
54,NONE,False,False,False,False
54,Ensemble_rcp45,False,False,False,False
54,Ensemble_rcp85,False,False,False,False
55,NONE,False,False,False,False
55,Ensemble_rcp45,False,False,False,False
55,Ensemble_rcp85,False,False,False,False
56,NONE,False,False,False,False
56,Ensemble_rcp45,False,False,False,False
56,Ensemble_rcp85,False,False,False,False
57,NONE,False,False,False,False
57,Ensemble_rcp45,False,False,False,False
57,Ensemble_rcp85,False,False,False,False
58,NONE,False,False,False,False
58,Ensemble_rcp45,False,False,False,False
58,Ensemble_rcp85,False,False,False,False
59,NONE,False,False,False,False
59,Ensemble_rcp45,False,False,False,False
59,Ensemble_rcp85,False,False,False,False
60,NONE,False,False,False,False
60,Ensemble_rcp45,False,False,False,False
60,Ensemble_rcp85,False,False,False,False
61,NONE,False,False,False,False
61,Ensemble_rcp45,False,False,False,False
61,Ensemble_rcp85,False,False,False,False
62,NONE,False,False,False,False
62,Ensemble_rcp45,False,False,False,False
62,Ensemble_rcp85,False,False,False,False
63,NONE,False,False,False,False
63,Ensemble_rcp45,False,False,False,False
63,Ensemble_rcp85,False,False,False,False
64,NONE,False,False,False,False
64,Ensemble_rcp45,False,False,False,False
64,Ensemble_rcp85,False,False,False,False
65,NONE,False,False,False,False
65,Ensemble_rcp45,False,False,False,False
65,Ensemble_rcp85,False,False,False,False
66,NONE,False,False,False,False
66,Ensemble_rcp45,False,False,False,False
66,Ensemble_rcp85,False,False,False,False
67,NONE,False,False,False,False
67,Ensemble_rcp45,False,False,False,False
67,Ensemble_rcp85,False,False,False,False
68,NONE,False,False,False,False
68,Ensemble_rcp45,False,False,False,False
68,Ensemble_rcp85,False,False,False,False
69,NONE,False,False,False,False
69,Ensemble_rcp45,False,False,False,False
69,Ensemble_rcp85,False,False,False,False
70,NONE,False,False,False,False
70,Ensemble_rcp45,False,False,False,False
70,Ensemble_rcp85,False,False,False,False
71,NONE,False,False,False,False
71,Ensemble_rcp45,False,False,False,False
71,Ensemble_rcp85,False,False,False,False
72,NONE,False,False,False,False
72,Ensemble_rcp45,False,False,False,False
72,Ensemble_rcp85,False,False,False,False
73,NONE,False,False,False,False
73,Ensemble_rcp45,False,False,False,False
73,Ensemble_rcp85,False,False,False,False
74,NONE,False,False,False,False
74,Ensemble_rcp45,False,False,False,False
74,Ensemble_rcp85,False,False,False,False
75,NONE,False,False,False,False
75,Ensemble_rcp45,False,False,False,False
75,Ensemble_rcp85,False,False,False,False
76,NONE,False,False,False,False
76,Ensemble_rcp45,False,False,False,False
76,Ensemble_rcp85,False,False,False,False
77,NONE,False,False,False,False
77,Ensemble_rcp45,False,False,False,False
77,Ensemble_rcp85,False,False,False,False
78,NONE,False,False,False,False
78,Ensemble_rcp45,False,False,False,False
78,Ensemble_rcp85,False,False,False,False
79,NONE,False,False,False,False
79,Ensemble_rcp45,False,False,False,False
79,Ensemble_rcp85,False,False,False,False
80,NONE,False,False,False,False
80,Ensemble_rcp45,False,False,False,False
80,Ensemble_rcp85,False,False,False,False
81,NONE,False,False,False,False
81,Ensemble_rcp45,False,False,False,False
81,Ensemble_rcp85,False,False,False,False
82,NONE,False,False,False,False
82,Ensemble_rcp45,False,False,False,False
82,Ensemble_rcp85,False,False,False,False
83,NONE,False,False,False,False
83,Ensemble_rcp45,False,False,False,False
83,Ensemble_rcp85,False,False,False,False
84,NONE,False,False,False,False
84,Ensemble_rcp45,False,False,False,False
84,Ensemble_rcp85,False,False,False,False
85,NONE,False,False,False,False
85,Ensemble_rcp45,False,False,False,False
85,Ensemble_rcp85,False,False,False,False
86,NONE,False,False,False,False
86,Ensemble_rcp45,False,False,False,False
86,Ensemble_rcp85,False,False,False,False
87,NONE,False,False,False,False
87,Ensemble_rcp45,False,False,False,False
87,Ensemble_rcp85,False,False,False,False
88,NONE,False,False,False,False
88,Ensemble_rcp45,False,False,False,False
88,Ensemble_rcp85,False,False,False,False
89,NONE,False,False,False,False
89,Ensemble_rcp45,False,False,False,False
89,Ensemble_rcp85,False,False,False,False
90,NONE,False,False,False,False
90,Ensemble_rcp45,False,False,False,False
90,Ensemble_rcp85,False,False,False,False
91,NONE,False,False,False,False
91,Ensemble_rcp45,False,False,False,False
91,Ensemble_rcp85,False,False,False,False
92,NONE,False,False,False,False
92,Ensemble_rcp45,False,False,False,False
92,Ensemble_rcp85,False,False,False,False
93,NONE,False,False,False,False
93,Ensemble_rcp45,False,False,False,False
93,Ensemble_rcp85,False,False,False,False
94,NONE,False,False,False,False
94,Ensemble_rcp45,False,False,False,False
94,Ensemble_rcp85,False,False,False,False
95,NONE,False,False,False,False
95,Ensemble_rcp45,False,False,False,False
95,Ensemble_rcp85,False,False,False,False
96,NONE,False,False,False,False
96,Ensemble_rcp45,False,False,False,False
96,Ensemble_rcp85,False,False,False,False
97,NONE,False,False,False,False
97,Ensemble_rcp45,False,False,False,False
97,Ensemble_rcp85,False,False,False,False
98,NONE,False,False,False,False
98,Ensemble_rcp45,False,False,False,False
98,Ensemble_rcp85,False,False,False,False
99,NONE,False,False,False,False
99,Ensemble_rcp45,False,False,False,False
99,Ensemble_rcp85,False,False,False,False
100,NONE,False,False,False,False
100,Ensemble_rcp45,False,False,False,False
100,Ensemble_rcp85,False,False,False,False
101,NONE,False,False,False,False
101,Ensemble_rcp45,False,False,False,False
101,Ensemble_rcp85,False,False,False,False
102,NONE,False,False,False,False
102,Ensemble_rcp45,False,False,False,False
102,Ensemble_rcp85,False,False,False,False
103,NONE,False,False,False,False
103,Ensemble_rcp45,False,False,False,False
103,Ensemble_rcp85,False,False,False,False
104,NONE,False,False,False,False
104,Ensemble_rcp45,False,False,False,False
104,Ensemble_rcp85,False,False,False,False
105,NONE,False,False,False,False
105,Ensemble_rcp45,False,False,False,False
105,Ensemble_rcp85,False,False,False,False
106,NONE,False,False,False,False
106,Ensemble_rcp45,False,False,False,False
106,Ensemble_rcp85,False,False,False,False
107,NONE,False,False,False,False
107,Ensemble_rcp45,False,False,False,False
107,Ensemble_rcp85,False,False,False,False
108,NONE,False,False,False,False
108,Ensemble_rcp45,False,False,False,False
108,Ensemble_rcp85,False,False,False,False
109,NONE,False,False,False,False
109,Ensemble_rcp45,False,False,False,False
109,Ensemble_rcp85,False,False,False,False
110,NONE,False,False,False,False
110,Ensemble_rcp45,False,False,False,False
110,Ensemble_rcp85,False,False,False,False
111,NONE,False,False,False,False
111,Ensemble_rcp45,False,False,False,False
111,Ensemble_rcp85,False,False,False,False
112,NONE,False,False,False,False
112,Ensemble_rcp45,False,False,False,False
112,Ensemble_rcp85,False,False,False,False
113,NONE,False,False,False,False
113,Ensemble_rcp45,False,False,False,False
113,Ensemble_rcp85,False,False,False,False
114,NONE,False,False,False,False
114,Ensemble_rcp45,False,False,False,False
114,Ensemble_rcp85,False,False,False,False
115,NONE,False,False,False,False
115,Ensemble_rcp45,False,False,False,False
115,Ensemble_rcp85,False,False,False,False
116,NONE,False,False,False,False
116,Ensemble_rcp45,False,False,False,False
116,Ensemble_rcp85,False,False,False,False
117,NONE,False,False,False,False
117,Ensemble_rcp45,False,False,False,False
117,Ensemble_rcp85,False,False,False,False
118,NONE,False,False,False,False
118,Ensemble_rcp45,False,False,False,False
118,Ensemble_rcp85,False,False,False,False
119,NONE,False,False,False,False
119,Ensemble_rcp45,False,False,False,False
