stand,climateScenario,none,first,second,both
0,NONE,True,True,True,True
0,Ensemble_rcp45,True,True,True,True
0,Ensemble_rcp85,True,True,True,True
1,NONE,False,False,False,False
1,Ensemble_rcp45,False,False,False,False
1,Ensemble_rcp85,False,False,False,False
2,NONE,True,True,True,True
2,Ensemble_rcp45,True,True,True,True
2,Ensemble_rcp85,True,True,True,True
3,NONE,False,False,False,False
3,Ensemble_rcp45,False,False,False,False
3,Ensemble_rcp85,False,False,False,False
4,NONE,False,False,False,False
4,Ensemble_rcp45,False,False,False,False
4,Ensemble_rcp85,False,False,False,False
5,NONE,False,False,False,False
5,Ensemble_rcp45,False,False,False,False
5,Ensemble_rcp85,False,False,False,False
6,NONE,True,True,True,True
6,Ensemble_rcp45,True,True,True,True
6,Ensemble_rcp85,True,True,True,True
7,NONE,False,False,False,False
7,Ensemble_rcp45,False,False,False,False
7,Ensemble_rcp85,False,False,False,False
8,NONE,False,False,False,False
8,Ensemble_rcp45,False,False,False,False
8,Ensemble_rcp85,False,False,False,False
9,NONE,True,True,True,True
9,Ensemble_rcp45,True,True,True,True
9,Ensemble_rcp85,True,True,True,True
10,NONE,False,False,False,False
10,Ensemble_rcp45,False,False,False,False
10,Ensemble_rcp85,False,False,False,False
11,NONE,True,True,True,True
11,Ensemble_rcp45,True,True,True,True
11,Ensemble_rcp85,True,True,True,True
12,NONE,True,True,True,True
12,Ensemble_rcp45,True,True,True,True
12,Ensemble_rcp85,True,True,True,True
13,NONE,True,True,True,True
13,Ensemble_rcp45,True,True,True,True
13,Ensemble_rcp85,True,True,True,True
14,NONE,True,True,True,True
14,Ensemble_rcp45,True,True,True,True
14,Ensemble_rcp85,True,True,True,True
15,NONE,True,True,True,True
15,Ensemble_rcp45,True,True,True,True
15,Ensemble_rcp85,True,True,True,True
16,NONE,True,True,True,True
16,Ensemble_rcp45,True,True,True,True
16,Ensemble_rcp85,True,True,True,True
17,NONE,False,False,False,False
17,Ensemble_rcp45,False,False,False,False
17,Ensemble_rcp85,False,False,False,False
18,NONE,False,False,False,False
18,Ensemble_rcp45,False,False,False,False
18,Ensemble_rcp85,False,False,False,False
19,NONE,False,False,False,False
19,Ensemble_rcp45,False,False,False,False
19,Ensemble_rcp85,False,False,False,False
20,NONE,True,True,True,True
20,Ensemble_rcp45,True,True,True,True
20,Ensemble_rcp85,True,True,True,True
21,NONE,False,False,False,False
21,Ensemble_rcp45,False,False,False,False
21,Ensemble_rcp85,False,False,False,False
22,NONE,False,False,False,False
22,Ensemble_rcp45,False,False,False,False
22,Ensemble_rcp85,False,False,False,False
