Stand_GNN_PAG,ClimateScenario,Year,TEMFM1,TreatmentAssignment
291_137417_MHD,NONE,2095,9,trtInBoth
116_78642_MCW,NONE,2095,12,trtInBoth
207_150017_LPD,NONE,2095,5,trtInBoth
119_24337_MHD,NONE,2095,13,trtInBoth
2_146071_MCD,NONE,2095,12,trtInBoth
9_29477_MCW,NONE,2095,12,trtInBoth
50_130631_MCW,NONE,2095,9,trtInBoth
87_82721_MHD,NONE,2095,13,trtInBoth
96_81141_MCW,NONE,2095,9,trtInBoth
97_84329_MCW,NONE,2095,9,trtInBoth
277_25052_MHD,NONE,2095,13,trtInBoth
24_94106_MHD,NONE,2095,5,trtInBoth
196_83057_MHD,NONE,2095,9,trtInBoth
92_78779_MHD,NONE,2095,13,trtInBoth
2_137472_MCD,NONE,2095,9,trtInBoth
288_9024_MHD,NONE,2095,13,trtInBoth
198_14347_MCW,NONE,2095,13,trtInBoth
101_13575_MCW,NONE,2095,9,trtInBoth
101_13574_MCW,NONE,2095,9,trtInBoth
53_8686_MCD,NONE,2095,12,trtInBoth
78_14451_MHD,NONE,2095,13,trtInBoth
6_82600_MCW,NONE,2095,12,trtInBoth
102_24403_MCW,NONE,2095,9,trtInBoth
39_23546_MCW,NONE,2095,9,trtInBoth
57_128648_MCW,NONE,2095,12,trtInBoth
133_78788_MCD,NONE,2095,9,trtInBoth
19_137444_MHD,NONE,2095,9,trtInBoth
16_8685_MHD,NONE,2095,13,trtInBoth
102_127780_MCW,NONE,2095,9,trtInBoth
299_133913_MHD,NONE,2095,5,trtInBoth
276_100761_MCD,NONE,2095,9,trtInBoth
203_13575_MCW,NONE,2095,9,trtInBoth
286_141180_MCW,NONE,2095,5,trtInBoth
211_83057_MHD,NONE,2095,9,trtInBoth
263_25119_MHD,NONE,2095,5,trtInBoth
233_84053_MHD,NONE,2095,13,trtInBoth
204_94084_MHD,NONE,2095,13,trtInBoth
60_8685_MCW,NONE,2095,9,trtInBoth
91_20587_MHD,NONE,2095,13,trtInBoth
295_25090_MCD,NONE,2095,13,trtInBoth
285_137363_MHD,NONE,2095,9,trtInBoth
53_24422_MCD,NONE,2095,13,trtInBoth
20_9024_MHD,NONE,2095,13,trtInBoth
80_12833_MHD,NONE,2095,13,trtInBoth
58_24403_MHD,NONE,2095,12,trtInBoth
20_9023_MHD,NONE,2095,13,trtInBoth
136_8142_MCW,NONE,2095,5,trtInBoth
58_137417_MHD,NONE,2095,9,trtInBoth
20_2945_MHD,NONE,2095,13,trtInBoth
20_2946_MHD,NONE,2095,5,trtInBoth
28_24237_MHD,NONE,2095,9,trtInBoth
109_127780_MHD,NONE,2095,9,trtInBoth
116_8533_MCW,NONE,2095,13,trtInBoth
296_13333_MCD,NONE,2095,5,trtInBoth
43_14528_MCW,NONE,2095,13,trtInBoth
37_20760_MCW,NONE,2095,9,trtInBoth
104_25336_MCW,NONE,2095,9,trtInBoth
78_149639_MHD,NONE,2095,9,trtInBoth
60_9024_MHD,NONE,2095,13,trtInBoth
58_14780_MHD,NONE,2095,13,trtInBoth
1_145522_MHD,NONE,2095,13,trtInBoth
105_141180_MCW,NONE,2095,9,trtInBoth
163_129875_MCD,NONE,2095,9,trtInBoth
164_25119_MHD,NONE,2095,5,trtInBoth
45_9024_MCD,NONE,2095,13,trtInBoth
87_84026_MHD,NONE,2095,9,trtInBoth
104_137444_MCW,NONE,2095,9,trtInBoth
117_21307_MHD,NONE,2095,5,trtInBoth
215_13333_MCD,NONE,2095,5,trtInBoth
61_14234_MCW,NONE,2095,9,trtInBoth
209_20888_MHD,NONE,2095,9,trtInBoth
129_14451_MHD,NONE,2095,13,trtInBoth
123_29476_LPD,NONE,2095,5,trtInBoth
19_9895_MHD,NONE,2095,5,trtInBoth
2_12111_MCD,NONE,2095,5,trtInBoth
64_127780_MHD,NONE,2095,9,trtInBoth
266_133529_MHD,NONE,2095,13,trtInBoth
102_13091_MCW,NONE,2095,9,trtInBoth
36_24219_MCW,NONE,2095,5,trtInBoth
133_25119_MCD,NONE,2095,9,trtInBoth
8_84088_MHD,NONE,2095,5,trtInBoth
16_25306_MCD,NONE,2095,8,trtInBoth
223_24337_MCW,NONE,2095,9,trtInBoth
122_24219_MCW,NONE,2095,5,trtInBoth
122_24218_MHD,NONE,2095,9,trtInBoth
224_93760_MHD,NONE,2095,12,trtInBoth
109_25052_MHD,NONE,2095,13,trtInBoth
295_20740_MCD,NONE,2095,13,trtInBoth
12_2931_MCW,NONE,2095,5,trtInBoth
119_137472_MHD,NONE,2095,13,trtInBoth
14_12642_MCW,NONE,2095,9,trtInBoth
12_2932_MCW,NONE,2095,9,trtInBoth
142_13091_MCW,NONE,2095,9,trtInBoth
21_25253_MHD,NONE,2095,13,trtInBoth
294_13575_MCW,NONE,2095,9,trtInBoth
97_137471_MCW,NONE,2095,13,trtInBoth
165_20484_MCD,NONE,2095,9,trtInBoth
275_92853_MCD,NONE,2095,5,trtInBoth
102_137268_MCW,NONE,2095,13,trtInBoth
287_133913_MCW,NONE,2095,9,trtInBoth
190_85910_MHD,NONE,2095,9,trtInBoth
49_20760_MCW,NONE,2095,9,trtInBoth
139_82600_MCW,NONE,2095,12,trtInBoth
7_15235_LPD,NONE,2095,5,trtInBoth
19_24440_MHD,NONE,2095,9,trtInBoth
155_25195_MHD,NONE,2095,13,trtInBoth
89_137492_MCD,NONE,2095,9,trtInBoth
20_24726_MHD,NONE,2095,13,trtInBoth
223_137256_MCW,NONE,2095,12,trtInBoth
261_78787_MHD,NONE,2095,9,trtInBoth
52_20740_MCD,NONE,2095,13,trtInBoth
77_20760_MCW,NONE,2095,9,trtInBoth
50_129875_MCD,NONE,2095,5,trtInBoth
109_24981_MHD,NONE,2095,13,trtInBoth
29_2937_MCD,NONE,2095,5,trtInBoth
149_82596_MCW,NONE,2095,9,trtInBoth
67_23983_MCD,NONE,2095,13,trtInBoth
3_78828_MHD,NONE,2095,13,trtInBoth
220_21178_MHD,NONE,2095,13,trtInBoth
295_81101_MCD,NONE,2095,13,trtInBoth
64_25120_MCD,NONE,2095,12,trtInBoth
278_9091_MCW,NONE,2095,8,trtInBoth
