Frontier,SolutionIndex,Restoration (Ha-yr),Employment (m3 eucalyptus),Income (USD)
test,0,50540.2395,259677.094,923684.6805
test,1,50604.4655,278147.729,554947.5834
test,10,50134.8495,336014.098,392940.646
test,11,45297.811,289317.164,1349990
test,12,49921.5195,335133.183,708935.6983
test,13,49361.931,315813.629,1003866.642
test,14,48881.01,334637.597,992423.3023
test,15,47730.61,307481.343,1273318.793
test,16,47046.744,251453.071,1620229.957
test,17,45730.1725,272361.188,1620581.792
test,20,43588.2315,254373.352,1878475.071
test,21,45081.145,272494.358,1870626.668
test,22,44792.871,290523.754,1779675.47
test,23,43796.2385,326535.324,1516428.738
test,24,42538.098,309731.617,1797050.204
test,25,49343.922,354364.059,356243.1272
test,26,48454.2925,354883.196,623913.9505
test,27,48598.3905,353146.426,877381.3734
test,28,46161.954,344791.125,1245260.993
test,29,44175.3325,231122.577,2136818.551
test,3,50070.7,297288.242,756158.4053
test,30,42895.4305,250624.307,2128730.287
test,31,44764.398,344558.552,1495303.34
test,32,43004.788,328009.495,1766603.481
test,33,41646.8735,272622.889,2126426.585
test,34,42207.8355,290665.156,2047973.299
test,35,39344.408,308939.333,2051380.191
test,36,37378.311,327164.537,2048382.026
test,37,39059.7835,251229.395,2385786.901
test,38,38077.552,291556.484,2305974.876
test,39,40975.6045,346108.261,1745468.673
test,4,50339.487,317925.718,457663.5162
test,40,38937.2375,346049.744,1997039.419
test,41,37541.602,309583.387,2301413.343
test,42,36182.7505,327589.86,2298436.159
test,43,35312.327,269701.241,2558966.153
test,44,34485.678,287711.744,2556022.457
test,45,31520.7335,236874.525,2809604.992
test,5,50378.5185,245705.149,1186822.244
test,6,49988.301,277738.716,1095621.139
test,7,49685.943,315961.111,738224.7622
test,8,49823.079,295882.47,1022863.003
