stand,climateScenario,initial,none,first,second,both
0.0,NONE,50.517122555,87.8001820181268,70.65282070016198,74.63726980309156,67.23757861193664
0.0,Ensemble_rcp45,50.517122555,64.74729792260564,58.912926021887344,54.35926990425353,48.45374712669719
0.0,Ensemble_rcp85,50.517122555,65.38765581414792,59.90903829761974,55.35538217998593,49.59216115610564
1.0,NONE,127.76961087051714,268.5852992782527,234.4145921189233,219.36531694512536,223.88009949726478
1.0,Ensemble_rcp45,127.76961087051714,300.2773022913095,294.96579340643973,300.36582743939067,151.73210381111573
1.0,Ensemble_rcp85,127.76961087051714,272.30335549766164,271.6836794610935,215.91283616995992,222.4636971279661
2.0,NONE,447.1173756567767,943.5427719131457,667.3025774424425,896.4061906054209,608.3593189811573
2.0,Ensemble_rcp45,447.1173756567767,922.1826002689188,648.5560976871714,691.4566955886575,489.57152899342947
2.0,Ensemble_rcp85,447.1173756567767,877.0288197045395,577.5357801527786,673.0707250594495,503.0004976642728
3.0,NONE,614.236364805,806.1515042623746,658.5728988970741,662.0802514925931,627.9959788335747
3.0,Ensemble_rcp45,614.236364805,1014.6141534011726,1006.6101949139623,1014.7940176368402,519.1781162546508
3.0,Ensemble_rcp85,614.236364805,883.2233292459596,855.5242369531429,685.5525342472206,716.489182782055
4.0,NONE,610.5044428558889,1143.730780284751,915.8137411751359,907.8830573310685,861.2001683398543
4.0,Ensemble_rcp45,610.5044428558889,1300.5420290197178,1273.054999787439,1302.2543357587779,756.3889716279193
4.0,Ensemble_rcp85,610.5044428558889,610.0318061419497,595.5222595635994,573.5326361777767,603.452943407667
5.0,NONE,405.8049204021193,746.2668524962205,716.6203896810202,687.6904576891482,679.719052279623
5.0,Ensemble_rcp45,405.8049204021193,847.0289995267349,847.0289995267349,847.0289995267349,751.0138692007689
5.0,Ensemble_rcp85,405.8049204021193,782.1829600155424,781.5559955451304,628.5766647645798,379.4030709522313
6.0,NONE,226.808230513,569.5704913001017,521.6141948287141,514.4565386389546,472.58424992886245
6.0,Ensemble_rcp45,226.808230513,570.6441397285657,569.8389034072179,474.91048819053435,326.21018084828324
6.0,Ensemble_rcp85,226.808230513,581.9174482274367,558.0287706941148,557.4024757775111,502.73587662822354
7.0,NONE,493.7448573156846,650.7669229877079,636.3853335294158,641.0593501033607,641.0593501033607
7.0,Ensemble_rcp45,493.7448573156846,640.6998103669033,640.6998103669033,640.6998103669033,504.4342502495879
7.0,Ensemble_rcp85,493.7448573156846,605.8244559305456,605.8244559305456,367.35972572524344,367.09007092290045
8.0,NONE,86.253025974,141.91734995309685,114.52979119021853,110.1726795688515,111.59540989419584
8.0,Ensemble_rcp45,86.253025974,142.18411188909892,140.76138156375458,141.91734995309685,103.05902794212987
8.0,Ensemble_rcp85,86.253025974,129.557380251668,127.06760218231545,90.34337565936494,91.23258211270515
9.0,NONE,110.19204234955349,218.00494550780834,217.64281104683192,215.1984034352411,166.40078481866766
9.0,Ensemble_rcp45,110.19204234955349,197.27274761690802,274.7695222658631,210.40012182730348,137.701628786286
9.0,Ensemble_rcp85,110.19204234955349,137.97322963201827,135.3477547899392,128.55773364663122,130.64000679724566
10.0,NONE,58.843621025,116.50124658748064,101.44822725550388,103.09037481899225,94.0585632198062
10.0,Ensemble_rcp45,58.843621025,147.6108198735659,148.06697197453488,149.34419785724805,85.84782540236434
10.0,Ensemble_rcp85,58.843621025,96.43055414484496,93.87610237941861,83.65829531771318,92.05149397554263
11.0,NONE,90.87782034517144,229.12067036928104,184.90747260982866,192.87460329519527,166.69688818613335
11.0,Ensemble_rcp45,90.87782034517144,223.4298627368763,221.24109057056668,199.96622511403814,139.2934606639381
11.0,Ensemble_rcp85,90.87782034517144,233.06046026863825,218.7896657443001,202.24254816700005,168.18525325922386
12.0,NONE,154.446669848,379.714972072677,322.50255350289626,324.2037052287582,286.15162715026554
12.0,Ensemble_rcp45,154.446669848,354.01862758202424,356.1674508146921,275.4075109869264,233.32638934718153
12.0,Ensemble_rcp85,154.446669848,373.0894337719512,368.34411579980974,339.69313936423885,280.77956906859595
13.0,NONE,43.063432088754986,115.56113902957122,111.9443400217755,114.14970527043144,111.9443400217755
13.0,Ensemble_rcp45,43.063432088754986,110.9739793123669,100.38822611881838,106.47503420510877,98.88857774973235
13.0,Ensemble_rcp85,43.063432088754986,112.73827151129164,101.27037221828077,102.0643037077969,97.74178782043124
14.0,NONE,99.50692070800001,231.3201241929472,176.16740939694353,178.22001852365563,166.97529026427623
14.0,Ensemble_rcp45,99.50692070800001,197.49669553973453,179.55867664977222,213.47134917805917,126.54781485555513
14.0,Ensemble_rcp85,99.50692070800001,130.83152085912823,133.95505648673358,113.96442847005916,104.59382158724303
15.0,NONE,43.51908873191999,114.781596530439,112.78697163022599,106.259108320438,104.083153883842
15.0,Ensemble_rcp45,43.51908873191999,95.6513304420325,95.56066567384099,80.96363799500949,50.409611114474004
15.0,Ensemble_rcp85,43.51908873191999,94.65401799192597,95.198006601075,82.50493905426498,50.590940650857
16.0,NONE,86.12559430587777,229.10256613386198,197.2235656524448,205.74831229928617,201.8411367528172
16.0,Ensemble_rcp45,86.12559430587777,231.76654946099995,208.67869395913786,209.03389173608963,168.7189440520689
16.0,Ensemble_rcp85,86.12559430587777,230.8785550186206,209.21149062456547,220.84421781973444,169.42933960597236
17.0,NONE,163.3465024212,347.61958304017446,347.0764274416741,339.6533009288371,330.05755202199896
17.0,Ensemble_rcp45,163.3465024212,386.5457342660273,397.952001834533,431.89922674080003,311.95236540532323
17.0,Ensemble_rcp85,163.3465024212,327.7038777618311,327.7038777618311,280.1777628930573,256.7315462244622
18.0,NONE,830.9707045011273,1636.654050285399,1470.8633544245308,1390.534565338222,1342.7155216108338
18.0,Ensemble_rcp45,830.9707045011273,1749.402530034344,1743.008646598102,1757.9577261814286,1046.8858443142817
18.0,Ensemble_rcp85,830.9707045011273,1596.039382260819,1590.3659363948575,1035.6290072786442,1308.8549558076368
19.0,NONE,516.7966152407719,988.3163422204949,964.0823819651786,893.2584095584984,877.0726279857593
19.0,Ensemble_rcp45,516.7966152407719,1178.700480167241,1165.5551216523647,1178.7899043748253,497.8245636211993
19.0,Ensemble_rcp85,516.7966152407719,794.5340843855502,807.053473447337,584.8343176006186,896.7459536542818
20.0,NONE,735.4742100257349,1783.038065760427,1700.5734564715676,1651.7255676906257,1612.340830795291
20.0,Ensemble_rcp45,735.4742100257349,1902.3639047751258,1882.9869747236453,1848.288751143087,1348.9948326072617
20.0,Ensemble_rcp85,735.4742100257349,1435.2447026503637,1415.3270210625628,1317.8114940127862,1134.7670989683345
21.0,NONE,477.18525308100004,1211.2402282450373,1110.0409406105005,1126.3372671779837,1060.6117511875814
21.0,Ensemble_rcp45,477.18525308100004,1237.3503647343748,1237.0802598741402,1238.430784175313,1050.257731545258
21.0,Ensemble_rcp85,477.18525308100004,1140.4727548635901,1140.4727548635901,1121.7454845539962,928.3504046260736
22.0,NONE,387.5850577715,677.9576395145309,785.2888862820231,764.5996139674138,749.0600731896286
22.0,Ensemble_rcp45,387.5850577715,999.4996489804441,1000.7644953228221,1000.9451876574476,519.5808082153605
22.0,Ensemble_rcp85,387.5850577715,854.7650889454922,854.7650889454922,552.376466949872,559.3331218329503
23.0,NONE,129.16788432950003,241.14247594757342,223.42552965102706,212.8651823511152,207.19226851231957
23.0,Ensemble_rcp45,129.16788432950003,308.1701348428815,297.7843387380095,309.74109559824024,141.2991923847706
23.0,Ensemble_rcp85,129.16788432950003,194.2754800793696,196.10826762728817,120.96397816262635,186.42067630257569
24.0,NONE,275.426123514,621.248989781414,554.023271476352,539.3459583154087,520.5010130223453
24.0,Ensemble_rcp45,275.426123514,671.3511760653753,661.5663006247463,671.3511760653753,479.2776951937697
24.0,Ensemble_rcp85,275.426123514,591.8037627610028,577.2170502985837,547.4094204840751,411.5083726975617
25.0,NONE,795.9674655703911,1981.1614664422298,1893.2074727516915,1858.9583131290763,1807.584573695153
25.0,Ensemble_rcp45,795.9674655703911,2091.7988040713067,2086.329697429999,2087.674559718845,1511.266582719384
25.0,Ensemble_rcp85,795.9674655703911,1807.8535461529225,1811.3501881039222,1333.7447605916918,1080.2830478871533
26.0,NONE,108.15701894149998,255.8968141097232,250.96018668915679,249.0752925831224,245.5747749576298
26.0,Ensemble_rcp45,108.15701894149998,268.2832610922352,270.7066963714223,271.87353557991986,240.18936322610293
26.0,Ensemble_rcp85,108.15701894149998,236.50933187622616,232.11124562881244,196.29825761415808,223.67410058275348
27.0,NONE,112.82494273341428,251.54074418196046,249.2786871299644,252.4455670027589,242.3115514098166
27.0,Ensemble_rcp45,112.82494273341428,291.4434305791707,291.08150145085136,290.53860775837234,231.09174843191613
27.0,Ensemble_rcp85,112.82494273341428,253.07894297731772,258.1459507737889,221.41014424937305,171.46392454130034
28.0,NONE,196.01141328112195,466.64286818737537,386.391042871466,404.75223058325327,365.6115523878823
28.0,Ensemble_rcp45,196.01141328112195,433.2344632288551,430.3683266104298,423.2925518336922,241.65114364098636
28.0,Ensemble_rcp85,196.01141328112195,383.793606561018,378.7778674787737,238.3371731759321,286.07626122657905
29.0,NONE,387.094715506,335.3022518285422,264.0876142720376,274.2482885698723,242.1477511864479
29.0,Ensemble_rcp45,387.094715506,481.2383083363791,484.56525478788245,482.40723546798836,409.9337533082123
29.0,Ensemble_rcp85,387.094715506,446.3503293314248,438.43759182514657,439.4266840134314,387.1846329776623
30.0,NONE,429.3321216415,763.3167346017837,738.0934724553456,745.7856729680891,725.4818413821266
30.0,Ensemble_rcp45,429.3321216415,579.598364216025,830.7576553763028,836.3926394728473,697.9330302434635
30.0,Ensemble_rcp85,429.3321216415,774.76559117889,764.658397481913,608.3099498508002,716.6268663732704
31.0,NONE,338.56255248499997,387.87393897812973,504.8978359682596,458.39647333778976,426.4891056069411
31.0,Ensemble_rcp45,338.56255248499997,711.6612047014016,715.7402715988113,727.0710129805047,567.8061121194216
31.0,Ensemble_rcp85,338.56255248499997,652.3787657923817,665.0691961398784,443.98377030027575,525.2025245242543
32.0,NONE,266.6242139365,679.1759758362318,539.0640567004739,540.0482400405081,539.7798264023169
32.0,Ensemble_rcp45,266.6242139365,629.7878664090682,474.7342547473384,651.082015038896,471.7817047272362
32.0,Ensemble_rcp85,266.6242139365,629.8773376217986,484.03926087129685,540.1377112532383,495.0442200371322
33.0,NONE,231.94963178449999,367.61319549101563,358.9825115176389,351.79027487315824,336.32696608752497
33.0,Ensemble_rcp45,231.94963178449999,325.718417036916,320.6838513857795,320.6838513857795,304.6811248518102
33.0,Ensemble_rcp85,231.94963178449999,304.23161006153026,304.23161006153026,230.6010874136598,229.16264008476367
34.0,NONE,171.3692768185,441.5436523026664,418.87292505688566,382.27844406960185,372.37115775353226
34.0,Ensemble_rcp45,171.3692768185,444.9353359063658,434.31401093688584,435.56357858035415,419.4977088786198
34.0,Ensemble_rcp85,171.3692768185,443.4180037678687,432.70742396671244,428.06617271954474,410.30446121596066
35.0,NONE,28.609411957650003,65.51555338301851,56.55127096962149,58.553929806656996,55.788353317417496
35.0,Ensemble_rcp45,28.609411957650003,55.120800371739016,57.314188621825515,49.39891798020901,38.0505179036745
35.0,Ensemble_rcp85,28.609411957650003,53.881059186907514,59.12611804581002,41.6743767516435,40.625364979863
36.0,NONE,237.444233248,610.8140898307986,463.150657229778,463.7778684119425,361.0048361344119
36.0,Ensemble_rcp45,237.444233248,459.11858534443473,509.1162767226929,367.45615115096143,267.46076839444527
36.0,Ensemble_rcp85,237.444233248,369.33778469745505,425.6971894948106,351.68626999939625,274.71849778806336
37.0,NONE,581.6493805949999,1460.6962695654313,1204.8965961489616,1214.260610944918,1045.4382288062766
37.0,Ensemble_rcp45,581.6493805949999,1374.79944153329,1401.540906864051,1107.0246338104528,907.409049169723
37.0,Ensemble_rcp85,581.6493805949999,1386.5044600282356,1442.418432992554,1276.4772861757451,928.65815966824
38.0,NONE,36.9077413005,31.176186180892937,27.702516411434118,27.702516411434118,27.702516411434118
38.0,Ensemble_rcp45,36.9077413005,28.04988338838,28.657775598035293,28.04988338838,28.04988338838
38.0,Ensemble_rcp85,36.9077413005,28.04988338838,31.089344436656468,28.04988338838,28.04988338838
39.0,NONE,216.6124889335,540.3627732233202,462.88560913175303,451.8302829330722,418.30478153382114
39.0,Ensemble_rcp45,216.6124889335,494.1640930109472,525.3526961893391,385.49832574098815,353.77043835778267
39.0,Ensemble_rcp85,216.6124889335,532.9026750567308,529.3074470246394,483.73793171788265,366.1739750684976
40.0,NONE,62.509384448,161.65014243965314,127.72896598395525,138.22005148571748,120.73490898278041
40.0,Ensemble_rcp45,62.509384448,152.8201454756699,160.60103388947692,125.45589745857343,114.96481195681119
40.0,Ensemble_rcp85,62.509384448,162.5243995648,161.3004395895944,134.02361728501262,136.03440867285036
41.0,NONE,41.43385920159867,102.07699473681524,87.97600241435335,88.86285727740128,87.70994595543897
41.0,Ensemble_rcp45,41.43385920159867,108.01892231923627,86.46834914717189,73.96369557819627,81.59064740040834
41.0,Ensemble_rcp85,41.43385920159867,110.67948690838003,86.82309109239107,73.34289717406273,70.68233258491898
42.0,NONE,110.07163479600001,286.18625046960005,264.7958113189603,273.7084942983936,223.7974696135677
42.0,Ensemble_rcp45,110.07163479600001,284.6710943630964,281.5516553202948,251.60504050939923,145.90062037332152
42.0,Ensemble_rcp85,110.07163479600001,284.76022119289075,281.5516553202948,245.00965510461864,258.02217225459117
43.0,NONE,75.7688959515,195.5518584276354,167.71317418478088,189.33710628779323,170.7779834592236
43.0,Ensemble_rcp45,75.7688959515,183.97369005751858,142.5987648525421,168.39424291243486,143.70550153497976
43.0,Ensemble_rcp85,75.7688959515,184.99529314899945,143.0244328073258,174.8643958251472,140.81095944245055
44.0,NONE,167.887204646712,414.2795922589407,394.2854034433547,407.7925887765506,394.2854034433547
44.0,Ensemble_rcp45,167.887204646712,440.4053323113062,386.1100017943152,347.27684396137715,337.6796333298959
44.0,Ensemble_rcp85,167.887204646712,442.0937304779558,389.22020894340636,347.6322962069876,315.3750049178423
45.0,NONE,104.73182442258945,253.44941305019415,226.50194808088705,235.7231736351682,227.57626562119165
45.0,Ensemble_rcp45,104.73182442258945,145.21192086450543,144.40618270927698,141.36228301174728,134.55827192315144
45.0,Ensemble_rcp85,104.73182442258945,133.3944279211548,129.18668422162844,131.7829516106979,129.18668422162844
46.0,NONE,192.57639680161873,393.00813574556497,384.41875186887785,388.4505034844656,382.7534631580915
46.0,Ensemble_rcp45,192.57639680161873,270.3902985671427,247.33919693889038,279.7685034120972,203.778750135691
46.0,Ensemble_rcp85,192.57639680161873,230.7739566052793,209.91402433332473,206.23285981474453,195.71524690451528
47.0,NONE,218.65254303294446,498.3860706208524,427.5527110319732,473.95448713331103,444.5089592733265
47.0,Ensemble_rcp45,218.65254303294446,530.8399651043028,508.7786098655527,415.61040716306314,474.6837881329391
47.0,Ensemble_rcp85,218.65254303294446,565.208274711777,518.6241733605322,498.3860706208524,352.1612201954183
48.0,NONE,111.97465371949092,227.3892408148031,216.16123397830236,224.82536523796435,220.93534712138143
48.0,Ensemble_rcp45,111.97465371949092,279.37402837277523,241.44635173609146,212.27121586171936,232.95903948172867
48.0,Ensemble_rcp85,111.97465371949092,274.06945821379844,235.69973406386666,149.58887848314416,230.57198291018912
49.0,NONE,154.82791243900002,367.5518147985327,343.9548128460731,320.2700896967643,316.23491464169683
49.0,Ensemble_rcp45,154.82791243900002,369.30623873551855,369.65712352291575,325.1824767203246,251.05806538267313
49.0,Ensemble_rcp85,154.82791243900002,376.49937687716044,372.63964421579163,332.46333605881586,324.6561495392289
50.0,NONE,157.0504439755,337.9292311748689,289.91150922373913,289.64073259619505,256.2449485324394
50.0,Ensemble_rcp45,157.0504439755,330.61826223118186,327.4592015765022,248.57294408536038,240.99119851412934
50.0,Ensemble_rcp85,157.0504439755,341.2688095812445,332.9649930032295,289.64073259619505,297.1322192915781
51.0,NONE,20.881904545287693,44.974816237916244,42.371483561469994,42.46125365376125,42.012403192305
51.0,Ensemble_rcp45,20.881904545287693,30.97068184048125,21.903902519065003,38.51136959294625,21.544822149900003
51.0,Ensemble_rcp85,20.881904545287693,21.544822149900003,21.544822149900003,21.544822149900003,21.544822149900003
52.0,NONE,56.630432890769235,145.09965983227272,125.71646645833336,140.25386148878786,121.7849696890909
52.0,Ensemble_rcp45,56.630432890769235,151.59120100939393,121.60210937424242,132.75658858,116.84774118818183
52.0,Ensemble_rcp85,56.630432890769235,151.68263116681817,123.15642205045455,134.3109012562121,112.09337300212121
53.0,NONE,110.73685018267342,244.72980912664326,184.2915591764585,212.97717631699396,178.96938492711385
53.0,Ensemble_rcp45,110.73685018267342,200.97973267016621,172.38432187284,179.05959127032307,147.57757749030156
53.0,Ensemble_rcp85,110.73685018267342,192.59054275170772,166.1600841914031,176.1729882876277,152.9899580828554
54.0,NONE,128.3024379550375,319.5639016099933,275.21992200456157,290.9288216623562,274.8608614409548
54.0,Ensemble_rcp45,128.3024379550375,189.31468216165047,279.16958820423565,176.65779729451313,131.50593142096633
54.0,Ensemble_rcp85,128.3024379550375,153.85745150548544,173.96484306746262,150.71567157392653,147.57389164236764
55.0,NONE,54.44406539597143,120.01050102124161,115.94534413834239,116.7407009197792,116.5639549683488
55.0,Ensemble_rcp45,54.44406539597143,137.7734691399968,125.3128795641536,105.42896002823359,77.59147267794559
55.0,Ensemble_rcp85,54.44406539597143,142.0153719743264,126.7268471755968,107.46153846968322,89.1683324966368
56.0,NONE,65.583878937,90.4510997006125,87.1719057537625,89.72238993464583,87.26299447450833
56.0,Ensemble_rcp45,65.583878937,113.22327988707083,105.38964990292915,72.9620653174125,77.3343239132125
56.0,Ensemble_rcp85,65.583878937,113.86090093229166,107.9401340838125,86.44319598779583,61.302709061945826
57.0,NONE,232.298796482149,605.0391677427101,511.2943937153255,537.2848186368757,521.0632085996323
57.0,Ensemble_rcp45,232.298796482149,609.6995197976089,487.18603404671524,553.2375622094135,486.46905680749995
57.0,Ensemble_rcp85,232.298796482149,604.5014348132988,497.2237153957276,516.940589474145,462.36069713888946
58.0,NONE,144.23692947166154,371.69361559308555,338.55988789751547,351.01889177214395,324.3855139242062
58.0,Ensemble_rcp45,144.23692947166154,368.26287539572405,336.9348004356075,356.2552847049589,325.7397534757962
58.0,Ensemble_rcp85,144.23692947166154,370.51994131504085,328.5385152157491,350.56747858828066,326.0106013861143
59.0,NONE,172.2492025998375,406.0756314455445,368.319924546566,365.09140804214036,366.34694223830587
59.0,Ensemble_rcp45,172.2492025998375,356.3026686689814,330.56421764758767,388.3187906712031,324.37622768077176
59.0,Ensemble_rcp85,172.2492025998375,357.6478838791588,370.83099293889717,417.0167151549872,350.5630837722246
60.0,NONE,90.47884978307,234.46136982113606,198.7922563178053,199.69299150728338,197.98159464727507
60.0,Ensemble_rcp45,90.47884978307,219.50916567580043,135.7407930543419,199.24262391254436,148.2610121880868
60.0,Ensemble_rcp85,90.47884978307,218.9687245621136,178.70586159244485,189.60475738512923,139.34373381225413
61.0,NONE,440.62046163786,765.768959082319,692.0824306338108,650.1542606933763,677.3629667185519
61.0,Ensemble_rcp45,440.62046163786,813.5849145888569,801.1848813511542,805.6453249618387,611.883654513703
61.0,Ensemble_rcp85,440.62046163786,654.3470776874199,652.9197357320008,493.5926899583496,378.87008029154356
62.0,NONE,169.91877606006486,424.61537956303187,372.3161822501081,366.72557839941624,357.1674492353302
62.0,Ensemble_rcp45,169.91877606006486,421.5495645481363,409.1961334587043,423.172643085434,333.903323534064
62.0,Ensemble_rcp85,169.91877606006486,414.876908339246,402.52347724981405,418.7542626227904,407.6632259512566
63.0,NONE,46.69298182511933,123.46063687541246,117.03416677412632,108.25434142448188,114.86183885256482
63.0,Ensemble_rcp45,46.69298182511933,122.46498657803009,122.46498657803009,115.58594815975196,60.28209982333189
63.0,Ensemble_rcp85,46.69298182511933,63.81213269586934,63.81213269586934,47.97224160115,47.97224160115
64.0,NONE,157.02815616332543,346.62325725476904,325.2787979464547,334.51610596643945,322.94705029092455
64.0,Ensemble_rcp45,157.02815616332543,375.50105514248855,356.57802609184006,297.6565564886361,306.44545149794203
64.0,Ensemble_rcp85,157.02815616332543,386.8010630115962,350.47960914660734,279.27162305080225,240.2596911217403
65.0,NONE,43.55180376934143,107.7082618850907,100.95984646607431,104.95561875364982,98.20720333463342
65.0,Ensemble_rcp45,43.55180376934143,102.11418068248501,85.7759117732874,94.122636107334,54.3425031110268
65.0,Ensemble_rcp85,43.55180376934143,102.5581553811045,51.0570903412425,85.9535016527352,53.6321435932356
66.0,NONE,66.8109869006317,145.4278609798767,102.78697581602398,137.4383056544391,94.25879878325344
66.0,Ensemble_rcp45,66.8109869006317,94.61787992147534,108.98112545035204,79.26716126248836,63.736902034390404
66.0,Ensemble_rcp85,66.8109869006317,82.31935093737467,78.01037727871164,70.82875451427329,63.736902034390404
67.0,NONE,277.32432875917016,620.9892236720162,576.0650787695245,587.9436300061673,573.0284566488788
67.0,Ensemble_rcp45,277.32432875917016,632.063963170841,562.4895916419323,574.6360801245144,515.3326363566131
67.0,Ensemble_rcp85,277.32432875917016,635.7257721986783,593.6596245862058,562.6682164725585,519.4410074610158
