Stand ID,Mgmt ID,TreatmentSchedule,2015,2055
0_2331_MCW,E45,both,FALSE,FALSE
0_2331_MCW,E85,both,FALSE,FALSE
0_2331_MCW,NONE,both,FALSE,FALSE
0_2642_MHD,E45,both,FALSE,FALSE
0_2642_MHD,E85,both,FALSE,FALSE
0_2642_MHD,NONE,both,FALSE,FALSE
0_9024_MCD,E45,both,FALSE,FALSE
0_9024_MCD,E85,both,FALSE,FALSE
0_9024_MCD,NONE,both,TRUE,TRUE
0_13091_MCW,E45,both,TRUE,FALSE
0_13091_MCW,E85,both,TRUE,FALSE
0_13091_MCW,NONE,both,TRUE,TRUE
0_13239_MHD,E45,both,FALSE,FALSE
0_13239_MHD,E85,both,FALSE,FALSE
0_13239_MHD,NONE,both,FALSE,FALSE
0_14451_MCW,E45,both,FALSE,FALSE
0_14451_MCW,E85,both,FALSE,FALSE
0_14451_MCW,NONE,both,FALSE,FALSE
0_14452_MCD,E45,both,TRUE,FALSE
0_14452_MCD,E85,both,TRUE,FALSE
0_14452_MCD,NONE,both,TRUE,TRUE
0_14453_MCD,E45,both,TRUE,FALSE
0_14453_MCD,E85,both,TRUE,FALSE
0_14453_MCD,NONE,both,TRUE,TRUE
0_14498_MCD,E45,both,TRUE,FALSE
0_14498_MCD,E85,both,TRUE,FALSE
0_14498_MCD,NONE,both,TRUE,TRUE
0_20760_MCW,E45,both,TRUE,FALSE
0_20760_MCW,E85,both,TRUE,FALSE
0_20760_MCW,NONE,both,TRUE,TRUE
0_21112_MCD,E45,both,TRUE,FALSE
0_21112_MCD,E85,both,TRUE,FALSE
0_21112_MCD,NONE,both,TRUE,FALSE
0_21178_MHD,E45,both,TRUE,FALSE
0_21178_MHD,E85,both,TRUE,FALSE
0_21178_MHD,NONE,both,TRUE,TRUE
0_21307_MCW,E45,both,TRUE,TRUE
0_21307_MCW,E85,both,TRUE,FALSE
0_21307_MCW,NONE,both,TRUE,TRUE
0_21345_MHD,E45,both,FALSE,FALSE
0_21345_MHD,E85,both,FALSE,FALSE
0_21345_MHD,NONE,both,TRUE,TRUE
0_24218_MCW,E45,both,TRUE,TRUE
0_24218_MCW,E85,both,TRUE,FALSE
0_24218_MCW,NONE,both,TRUE,TRUE
0_24236_MHD,E45,both,TRUE,FALSE
0_24236_MHD,E85,both,TRUE,FALSE
0_24236_MHD,NONE,both,TRUE,TRUE
0_24237_MHD,E45,both,FALSE,FALSE
0_24237_MHD,E85,both,FALSE,FALSE
0_24237_MHD,NONE,both,TRUE,TRUE
0_24240_MCD,E45,both,TRUE,TRUE
0_24240_MCD,E85,both,TRUE,TRUE
0_24240_MCD,NONE,both,TRUE,TRUE
0_24259_MCD,E45,both,FALSE,TRUE
0_24259_MCD,E85,both,FALSE,FALSE
0_24259_MCD,NONE,both,FALSE,TRUE
0_24360_MCW,E45,both,FALSE,FALSE
0_24360_MCW,E85,both,FALSE,FALSE
0_24360_MCW,NONE,both,FALSE,FALSE
0_24817_LPD,E45,both,FALSE,FALSE
0_24817_LPD,E85,both,FALSE,FALSE
0_24817_LPD,NONE,both,FALSE,FALSE
0_25151_MCD,E45,both,FALSE,FALSE
0_25151_MCD,E85,both,FALSE,FALSE
0_25151_MCD,NONE,both,TRUE,TRUE
0_84088_MCW,E45,both,FALSE,FALSE
0_84088_MCW,E85,both,FALSE,FALSE
0_84088_MCW,NONE,both,FALSE,FALSE
0_85910_MCD,E45,both,TRUE,FALSE
0_85910_MCD,E85,both,FALSE,FALSE
0_85910_MCD,NONE,both,TRUE,TRUE
0_87655_MHD,E45,both,FALSE,FALSE
0_87655_MHD,E85,both,FALSE,FALSE
0_87655_MHD,NONE,both,FALSE,FALSE
0_129875_MCD,E45,both,FALSE,FALSE
0_129875_MCD,E85,both,FALSE,FALSE
0_129875_MCD,NONE,both,FALSE,FALSE
0_129921_MHD,E45,both,TRUE,FALSE
0_129921_MHD,E85,both,TRUE,FALSE
0_129921_MHD,NONE,both,TRUE,TRUE
0_130578_MHD,E45,both,FALSE,FALSE
0_130578_MHD,E85,both,FALSE,FALSE
0_130578_MHD,NONE,both,FALSE,TRUE
0_130881_MCD,E45,both,FALSE,FALSE
0_130881_MCD,E85,both,FALSE,FALSE
0_130881_MCD,NONE,both,FALSE,FALSE
0_133151_MCW,E45,both,FALSE,FALSE
0_133151_MCW,E85,both,FALSE,FALSE
0_133151_MCW,NONE,both,FALSE,FALSE
0_136333_MCW,E45,both,FALSE,FALSE
0_136333_MCW,E85,both,FALSE,TRUE
0_136333_MCW,NONE,both,FALSE,TRUE
0_137000_MCD,E45,both,FALSE,FALSE
0_137000_MCD,E85,both,FALSE,FALSE
0_137000_MCD,NONE,both,FALSE,FALSE
0_137167_MCW,E45,both,FALSE,FALSE
0_137167_MCW,E85,both,FALSE,FALSE
0_137167_MCW,NONE,both,FALSE,FALSE
0_137268_MCD,E45,both,TRUE,FALSE
0_137268_MCD,E85,both,TRUE,FALSE
0_137268_MCD,NONE,both,TRUE,FALSE
0_137444_MCD,E45,both,TRUE,TRUE
0_137444_MCD,E85,both,TRUE,TRUE
0_137444_MCD,NONE,both,TRUE,TRUE
0_137471_MCW,E45,both,FALSE,FALSE
0_137471_MCW,E85,both,FALSE,FALSE
0_137471_MCW,NONE,both,FALSE,FALSE
0_137472_MCD,E45,both,TRUE,FALSE
0_137472_MCD,E85,both,TRUE,FALSE
0_137472_MCD,NONE,both,TRUE,TRUE
0_137492_MCD,E45,both,FALSE,FALSE
0_137492_MCD,E85,both,FALSE,FALSE
0_137492_MCD,NONE,both,FALSE,TRUE
0_141226_MHD,E45,both,FALSE,FALSE
0_141226_MHD,E85,both,FALSE,FALSE
0_141226_MHD,NONE,both,FALSE,FALSE
0_145522_MCW,E45,both,TRUE,TRUE
0_145522_MCW,E85,both,TRUE,TRUE
0_145522_MCW,NONE,both,TRUE,TRUE
0_145614_LPD,E45,both,TRUE,FALSE
0_145614_LPD,E85,both,TRUE,FALSE
0_145614_LPD,NONE,both,TRUE,TRUE
0_149408_MCD,E45,both,TRUE,TRUE
0_149408_MCD,E85,both,TRUE,TRUE
0_149408_MCD,NONE,both,TRUE,TRUE
0_149460_MCD,E45,both,FALSE,FALSE
0_149460_MCD,E85,both,FALSE,FALSE
0_149460_MCD,NONE,both,FALSE,FALSE
1_8734_MHD,E45,both,FALSE,FALSE
1_8734_MHD,E85,both,FALSE,FALSE
1_8734_MHD,NONE,both,FALSE,FALSE
1_8798_MHD,E45,both,TRUE,FALSE
1_8798_MHD,E85,both,TRUE,FALSE
1_8798_MHD,NONE,both,TRUE,TRUE
1_8994_MHD,E45,both,TRUE,FALSE
1_8994_MHD,E85,both,TRUE,FALSE
1_8994_MHD,NONE,both,TRUE,TRUE
1_9895_MHD,E45,both,FALSE,FALSE
1_9895_MHD,E85,both,FALSE,FALSE
1_9895_MHD,NONE,both,FALSE,FALSE
1_14346_MHD,E45,both,FALSE,FALSE
1_14346_MHD,E85,both,FALSE,FALSE
1_14346_MHD,NONE,both,FALSE,TRUE
1_14451_MHD,E45,both,FALSE,FALSE
1_14451_MHD,E85,both,FALSE,FALSE
1_14451_MHD,NONE,both,FALSE,FALSE
1_14525_MHD,E45,both,FALSE,FALSE
1_14525_MHD,E85,both,FALSE,FALSE
1_14525_MHD,NONE,both,FALSE,FALSE
1_16738_MHD,E45,both,FALSE,FALSE
1_16738_MHD,E85,both,FALSE,FALSE
1_16738_MHD,NONE,both,FALSE,TRUE
1_20888_MHD,E45,both,FALSE,FALSE
1_20888_MHD,E85,both,FALSE,FALSE
1_20888_MHD,NONE,both,FALSE,FALSE
1_20951_MHD,E45,both,TRUE,FALSE
1_20951_MHD,E85,both,FALSE,FALSE
1_20951_MHD,NONE,both,TRUE,TRUE
1_21148_MHD,E45,both,TRUE,FALSE
1_21148_MHD,E85,both,TRUE,FALSE
1_21148_MHD,NONE,both,TRUE,TRUE
1_24218_MHD,E45,both,TRUE,FALSE
1_24218_MHD,E85,both,TRUE,FALSE
1_24218_MHD,NONE,both,TRUE,TRUE
1_24481_MHD,E45,both,TRUE,FALSE
1_24481_MHD,E85,both,TRUE,FALSE
1_24481_MHD,NONE,both,TRUE,TRUE
1_24782_MHD,E45,both,TRUE,FALSE
1_24782_MHD,E85,both,TRUE,FALSE
1_24782_MHD,NONE,both,TRUE,TRUE
1_24981_MHD,E45,both,TRUE,FALSE
1_24981_MHD,E85,both,TRUE,FALSE
1_24981_MHD,NONE,both,TRUE,TRUE
1_25088_MHD,E45,both,TRUE,FALSE
1_25088_MHD,E85,both,TRUE,FALSE
1_25088_MHD,NONE,both,TRUE,TRUE
1_25119_MHD,E45,both,TRUE,FALSE
1_25119_MHD,E85,both,TRUE,FALSE
1_25119_MHD,NONE,both,TRUE,TRUE
1_25150_MHD,E45,both,TRUE,FALSE
1_25150_MHD,E85,both,TRUE,FALSE
1_25150_MHD,NONE,both,TRUE,TRUE
1_25253_MHD,E45,both,TRUE,FALSE
1_25253_MHD,E85,both,TRUE,FALSE
1_25253_MHD,NONE,both,TRUE,TRUE
1_78787_MHD,E45,both,TRUE,FALSE
1_78787_MHD,E85,both,TRUE,FALSE
1_78787_MHD,NONE,both,TRUE,TRUE
1_78788_MHD,E45,both,TRUE,FALSE
1_78788_MHD,E85,both,TRUE,FALSE
1_78788_MHD,NONE,both,TRUE,TRUE
